#"+ BPC Scan unstir_75_Ecoli-r007.d "
#Point,X(Minutes),Y(Counts)
0,0.058,0.163356495522711
1,0.075,0.117112193481355
2,0.091,0.146540385689491
3,0.108,0.193385263082033
4,0.125,0.111707015320677
5,0.141,0.111106439969491
6,0.158,0.107502987862372
7,0.175,0.180172605355931
8,0.191,0.151945563850168
9,0.208,0.147140961040677
10,0.224,0.127321974451525
11,0.241,0.0954914808386434
12,0.258,0.163957070873897
13,0.274,0.0798765217077961
14,0.291,0.141735782879999
15,0.308,0.162155344820338
16,0.324,0.15675016665966
17,0.341,0.188580660272541
18,0.358,0.10450011110644
19,0.374,0.0966926315410163
20,0.391,0.0780747956542368
21,0.407,0.135129454016948
22,0.424,0.142336358231185
23,0.441,0.109905289267118
24,0.457,0.0858822752196604
25,0.474,0.116511618130169
26,0.491,0.0768736449518639
27,0.507,0.0798765217077961
28,0.524,0.0924886040827112
29,0.541,0.136330604719321
30,0.557,0.169962824385762
31,0.574,0.149543262445423
32,0.590,0.0978937822433892
33,0.607,0.148942687094236
34,0.624,0.109905289267118
35,0.640,0.075672494249491
36,0.657,0.133327727963389
37,0.674,0.103899535755254
38,0.690,0.188580660272541
39,0.707,0.185577783516609
40,0.723,0.109304713915931
41,0.740,0.159152468064406
42,0.757,0.201192742647456
43,0.773,0.122517371642033
44,0.790,0.124319097695592
45,0.807,0.111707015320677
46,0.823,0.159753043415592
47,0.840,0.168761673683389
48,0.857,0.133928303314575
49,0.873,0.0954914808386434
50,0.890,0.198790441242711
51,0.906,0.174767427195253
52,0.923,0.142936933582372
53,0.940,0.0972932068922027
54,0.956,0.0840805491661011
55,0.973,0.0858822752196604
56,0.990,0.276865236896947
57,1.006,0.137531755421694
58,1.023,0.103298960404067
59,1.040,0.143537508933558
60,1.056,0.11290816602305
61,1.073,0.118913919534914
62,1.089,0.189781810974914
63,1.106,0.152546139201355
64,1.123,0.163957070873897
65,1.139,0.137531755421694
66,1.156,0.126120823749152
67,1.173,0.125520248397965
68,1.189,0.136330604719321
69,1.206,0.138732906124067
70,1.222,0.10450011110644
71,1.239,0.123718522344406
72,1.256,0.112307590671864
73,1.272,0.159753043415592
74,1.289,0.126120823749152
75,1.306,0.147140961040677
76,1.322,0.0702673160888131
77,1.339,0.160353618766779
78,1.356,0.116511618130169
79,1.372,0.168161098332202
80,1.389,0.198189865891524
81,1.405,0.111707015320677
82,1.422,0.0882845766244062
83,1.439,0.137531755421694
84,1.455,0.162755920171524
85,1.472,0.137531755421694
86,1.489,0.0978937822433892
87,1.505,0.124919673046779
88,1.522,0.151344988498982
89,1.539,0.103899535755254
90,1.555,0.0870834259220333
91,1.572,0.118913919534914
92,1.588,0.137531755421694
93,1.605,0.0930891794338977
94,1.622,0.130324851207457
95,1.638,0.115310467427796
96,1.655,0.13993405682644
97,1.672,0.0636609872257623
98,1.688,0.115310467427796
99,1.705,0.075672494249491
100,1.721,0.137531755421694
101,1.738,0.109304713915931
102,1.755,0.137531755421694
103,1.771,0.107502987862372
104,1.788,0.0696667407376266
105,1.805,0.133327727963389
106,1.821,0.0954914808386434
107,1.838,0.137531755421694
108,1.855,0.106301837159999
109,1.871,0.138732906124067
110,1.888,0.0822788231125418
111,1.904,0.137531755421694
112,1.921,0.107502987862372
113,1.938,0.20059216729627
114,1.954,0.13152600190983
115,1.971,0.0924886040827112
116,1.988,0.075672494249491
117,2.004,0.144738659635931
118,2.021,0.0906868780291519
119,2.038,0.113508741374237
120,2.054,0.166959947629829
121,2.071,0.156149591308474
122,2.087,0.071468466791186
123,2.104,0.115310467427796
124,2.121,0.193985838433219
125,2.137,0.169362249034575
126,2.154,0.154347865254914
127,2.171,0.208399646861693
128,2.187,0.102097809701694
129,2.204,0.066063288630508
130,2.220,0.10450011110644
131,2.237,0.140534632177626
132,2.254,0.115911042778982
133,2.270,0.137531755421694
134,2.287,0.125520248397965
135,2.304,0.102097809701694
136,2.320,0.154347865254914
137,2.337,0.101497234350508
138,2.354,0.0780747956542368
139,2.370,0.120715645588474
140,2.387,0.120115070237287
141,2.403,0.110505864618304
142,2.420,0.141135207528813
143,2.437,0.111707015320677
144,2.453,0.133327727963389
145,2.470,0.0936897547850841
146,2.487,0.143537508933558
147,2.503,0.181373756058304
148,2.520,0.212603674319999
149,2.537,0.152546139201355
150,2.553,0.130925426558643
151,2.570,0.166959947629829
152,2.586,0.108704138564745
153,2.603,0.137531755421694
154,2.620,0.102097809701694
155,2.636,0.106301837159999
156,2.653,0.106902412511186
157,2.670,0.142936933582372
158,2.686,0.0858822752196604
159,2.703,0.137531755421694
160,2.719,0.233023236260337
161,2.736,0.10450011110644
162,2.753,0.114109316725423
163,2.769,0.123718522344406
164,2.786,0.127321974451525
165,2.803,0.127321974451525
166,2.819,0.0828793984637282
167,2.836,0.143537508933558
168,2.853,0.13813233077288
169,2.869,0.116511618130169
170,2.886,0.162155344820338
171,2.902,0.0798765217077961
172,2.919,0.115911042778982
173,2.936,0.147140961040677
174,2.952,0.163356495522711
175,2.969,0.136330604719321
176,2.986,0.193385263082033
177,3.002,0.0930891794338977
178,3.019,0.111106439969491
179,3.036,0.125520248397965
180,3.052,0.117712768832542
181,3.069,0.125520248397965
182,3.085,0.0846811245172876
183,3.102,0.222212879938982
184,3.119,0.089485727326779
185,3.135,0.0954914808386434
186,3.152,0.141735782879999
187,3.169,0.151945563850168
188,3.185,0.130925426558643
189,3.202,0.221011729236609
190,3.218,0.102097809701694
191,3.235,0.0678650146840673
192,3.252,0.108103563213559
193,3.268,0.121916796290847
194,3.285,0.094890905487457
195,3.302,0.137531755421694
196,3.318,0.0834799738149147
197,3.335,0.0546523569579657
198,3.352,0.103298960404067
199,3.368,0.151344988498982
200,3.385,0.107502987862372
201,3.401,0.144138084284745
202,3.418,0.0690661653864402
203,3.435,0.107502987862372
204,3.451,0.102097809701694
205,3.468,0.126721399100338
206,3.485,0.0912874533803384
207,3.501,0.123117946993219
208,3.518,0.130324851207457
209,3.535,0.137531755421694
210,3.551,0.103298960404067
211,3.568,0.137531755421694
212,3.584,0.125520248397965
213,3.601,0.094890905487457
214,3.618,0.130925426558643
215,3.634,0.190982961677287
216,3.651,0.127321974451525
217,3.668,0.138732906124067
218,3.684,0.121916796290847
219,3.701,0.183175482111863
220,3.717,0.154347865254914
221,3.734,0.125520248397965
222,3.751,0.114709892076609
223,3.767,0.134528878665762
224,3.784,0.0930891794338977
225,3.801,0.12972427585627
226,3.817,0.0636609872257623
