#"+ Scan (rt: 25.990 min) unstir_75_Ecoli-r007.d "
#Point,X(Thompsons),Y(Counts)
0,600.26435,224.002777099609
1,600.44247,261.782043457031
2,600.74812,245.68977355957
3,601.04454,218.32666015625
4,601.25101,772.631225585938
5,601.28732,475.382934570313
6,601.42732,255.889282226563
7,601.46573,350.629638671875
8,601.66793,362
9,601.85310,437.984619140625
10,602.08568,209.408340454102
11,602.25287,329
12,602.28575,265.173858642578
13,602.58943,274.410522460938
14,602.99194,279.328948974609
15,603.14412,281
16,603.21768,322.81884765625
17,604.00973,338.820861816406
18,604.09163,368.122222900391
19,604.27118,387.09765625
20,604.65481,363.847839355469
21,605.31077,246.11376953125
22,605.67255,208.820449829102
23,605.96692,215.93879699707
24,606.03434,282.123596191406
25,606.25817,299.248291015625
26,606.45368,287.487915039063
27,607.18229,277.896240234375
28,607.27467,220.385482788086
29,607.54772,276.924438476563
30,607.58023,212.281539916992
31,607.92583,528.136352539063
32,608.03131,276.7939453125
33,608.18811,368.806457519531
34,609.29324,386.003112792969
35,609.33315,248
36,610.24967,250.633331298828
37,610.30890,232.002685546875
38,610.55344,243.762161254883
39,610.62549,285.232299804688
40,610.90248,253.045455932617
41,610.94614,228.720504760742
42,611.27330,670.059265136719
43,611.68230,264.483032226563
44,611.76475,235.013885498047
45,611.88207,335.067230224609
46,612.25152,217.037124633789
47,612.76042,442
48,612.96113,354.014251708984
49,613.21702,223.901321411133
50,613.28779,657.389465332031
51,613.61548,307.695526123047
52,613.95840,232.617645263672
53,614.10506,273.988220214844
54,614.28172,239.017852783203
55,614.34403,231.877578735352
56,614.44658,218.839996337891
57,614.55893,579.055541992188
58,614.78415,449.100799560547
59,615.02472,317.447326660156
60,615.28487,648.035339355469
61,616.75112,234.149826049805
62,617.00829,236.810119628906
63,617.24473,348.095794677734
64,617.29850,509.440490722656
65,617.44988,298.076812744141
66,617.94099,272.0107421875
67,618.25429,206.120193481445
68,618.59130,485.385681152344
69,618.89700,336.316467285156
70,618.95006,376.585845947266
71,619.28063,510.052337646484
72,619.84857,280.592590332031
73,621.06737,223.259613037109
74,621.32272,247.025634765625
75,621.79471,231.240386962891
76,622.07095,408.352020263672
77,622.14238,227.764083862305
78,622.29076,323.013549804688
79,622.66222,400.901763916016
80,622.70697,306.234619140625
81,622.81884,375.307159423828
82,622.93296,265.647064208984
83,623.07318,288.257049560547
84,623.27922,466.926239013672
85,623.77553,260.700012207031
86,624.28041,371.289398193359
87,624.64001,356.111206054688
88,624.78596,419.895935058594
89,624.81616,318.375
90,624.95175,259.001098632813
91,625.05581,213.039993286133
92,625.27474,306.467529296875
93,625.36407,261.122497558594
94,625.45257,281.134429931641
95,625.61168,253.910446166992
96,626.05686,251.252517700195
97,626.27311,585.803100585938
98,626.32159,450.024444580078
99,626.43756,519.445434570313
100,626.49003,436.388061523438
101,627.08005,274.609985351563
102,627.28648,283.530700683594
103,627.47390,267.721923828125
104,627.81881,306.024688720703
105,628.32295,616.003234863281
106,628.44271,479.868133544922
107,628.68190,202.337966918945
108,629.29089,491.587890625
109,629.38895,438.743804931641
110,629.43449,367.165710449219
111,629.61671,262.061401367188
112,629.66119,265.009613037109
113,629.95904,298.754455566406
114,630.15453,338.578521728516
115,630.33145,223.502410888672
116,630.40663,238.537506103516
117,630.45954,912.02197265625
118,630.67011,286.260406494141
119,630.84201,213.950637817383
120,630.99720,298.400634765625
121,631.26918,285.94287109375
122,632.05074,502.225799560547
123,632.27025,321.30224609375
124,632.33218,266.252105712891
125,632.46014,275.13623046875
126,632.72044,367.000518798828
