CHROMATOGRAM,
Hela10k10.raw,
Data points: 3444,
Time,Intensity
0.002308035,93958.34375
0.035893674,3379.027832
0.057842425,8838.65918
0.079950773,7948.493164
0.146936591,5035.944336
0.169028273,10066.03516
0.190535406,10518.3125
0.21265004,18550.98633
0.234726341,9270.668945
0.256379639,9224.935547
0.278263592,9252.518555
0.300180041,10187.04785
0.322024925,11499.91797
0.344098074,8681.524414
0.365593524,11527.05176
0.386918008,13037.92969
0.408897673,9413.185547
0.431176725,11050.19141
0.453113575,10892.77539
0.474736976,9880.219727
0.496469692,9693.706055
0.518386141,11380.72461
0.540280858,9140.405273
0.561994842,11140.25977
0.583861374,9399.017578
0.605490624,9578.00293
0.627239159,9494.209961
0.648963041,11506.36914
0.670415492,11640.13867
0.692145391,11600.30762
0.714087525,9795.738281
0.735790006,11355.20606
0.757651173,13705.12988
0.779172539,11914.82227
0.801363507,10855.22266
0.822774175,13626.57031
0.844425606,9190.657227
0.866007907,10925.55762
0.888076857,10136.2959
0.909661789,10534.4502
0.931284975,10870.99902
0.952755808,13572.34668
0.974543809,9699.412109
0.996394475,13052.14941
1.017849441,18369.66797
1.039663592,11048.23828
1.061420909,9096.952148
1.083470193,11224.33398
1.105567292,8384.200195
1.127254724,10923.75195
1.149356058,13043.86914
1.171691675,10074.64258
1.193801426,15856.74902
1.215473456,12891.74023
1.237898492,14146.39941
1.260414373,15434.00684
1.282676509,11178.71973
1.304780407,17966.82813
1.326933558,10655.03613
1.349535023,10549.53809
1.370982006,9381.782227
1.39313079,8074.009277
1.414743641,11099.8418
1.436243374,13037.9209
1.457746426,11103.81055
1.479398226,12944.82227
1.501017625,10162.88379
1.522901141,14180.02148
1.544974259,9876.779297
1.567474825,9607.586914
1.589695373,12953.45703
1.611773558,11632.54981
1.633579309,10489.99805
1.655714773,10798.46973
1.67788124,8797.313477
1.699778989,14133.40527
1.721280757,13819.51758
1.743053022,8897.286133
1.764975925,10711.9668
1.786764291,10483.02734
1.808449474,10817.43359
1.830071425,11393.35352
1.851764873,12208.81055
1.873500807,15000.70703
1.895637674,12720.43164
1.917319174,24008.94727
1.939348959,13069.69336
1.961335173,15261.01856
1.982887359,11266.83984
2.004879073,12701.35645
2.027347206,10121.96289
2.04911034,9115.521484
2.070776275,10540.35254
2.092607923,9778.6875
2.114397708,10287.72852
2.136253424,9833.55957
2.157880925,11704.99902
2.179775623,10877.13281
2.201713057,11079.50098
2.223459342,13145.99023
2.245374075,12592.38086
2.267240706,10105.19922
2.28866794,11450.80273
2.311044672,8154.766113
2.332161489,30515.47852
2.353838876,12800.58496
2.375815641,10524.20508
2.39748334,11293.81641
2.418898991,9978.194336
2.44059799,11522.18848
2.462657109,11227.5918
2.484856176,9020.889648
2.506827608,11453.58887
2.528954473,12202.90137
2.551531723,8781.68457
2.573809591,10165.7207
2.595623806,10884.33008
2.617712541,12508.77441
2.639128891,17490.8457
2.660896225,10816.58789
2.682425009,14842.83984
2.704036024,10073.37793
2.72563039,10755.73828
2.747245692,12050.7207
2.768281841,19425.875
2.789888091,13964.79395
2.81128029,23595.1875
2.833444606,10522.67676
2.855361775,11646.56152
2.876986125,16490.01953
2.898675373,11214.61035
2.920481474,39986.75
2.942075772,11086.06055
2.963805341,12875.70117
2.985479442,80564.6875
3.007167025,11188.95313
3.028821758,13489.42773
3.050434473,12618.21875
3.07198799,11813.19922
3.09358789,12310.09863
3.115717943,9795.489258
3.137889476,12988.20898
3.159425826,36406.49609
3.180878007,10134.32813
3.202466241,11182.33887
3.224267776,7763.98584
3.24652274,9126.357422
3.268400509,10759.9834
3.290066075,9067.030273
3.311667175,32247.73047
3.333136458,17592.98242
3.355243022,10386.15723
3.376624524,10369.94824
3.398173006,25329.18164
3.420234056,10058.33984
3.442442059,11779.34277
3.464054274,15769.33203
3.486099374,15734.46094
3.508001374,26294.54102
3.529343723,8137.199219
3.551161841,9892.74707
3.572914874,15401.33887
3.594753356,11929.55176
3.616588723,11770.60742
3.638274589,9961.720703
3.660045691,11060.71191
3.681663175,24261.54297
3.703520174,14114.38086
3.725195057,15029.12207
3.746786073,11831.03906
3.768712456,11953.39746
3.790298807,12868.05664
3.812166372,11430.15137
3.834041857,11078.58887
3.855827343,23936.11133
3.877623808,10968.22168
3.899004109,22986.95117
3.920557375,10982.09473
3.941933472,10809.30859
3.963410742,9683.158203
3.984887226,12188.91699
4.006405842,11550.9668
4.027843375,17623.23047
4.049056259,14159.69043
4.07046794,12591.95606
4.091748257,29633.95898
4.113740273,12387.78223
4.135339891,11085.25195
4.156733774,11275.58691
4.178167756,10396.9668
4.199530756,11586.51758
4.220936774,10205.43848
4.242195725,10169.52344
4.263168823,10598.26367
4.284538809,10937.77246
4.305730541,14121.69922
4.327237875,14456.05762
4.348989526,12342.92481
4.370293593,12199.5332
4.391289909,10649.10254
4.412745523,10756.36621
4.433702858,11813.53906
4.454936372,10327.49902
4.476024575,13353.65918
4.497312541,9852.452148
4.518319856,11690.28906
4.539472889,12609.78418
4.560560722,9796.548828
4.581381273,10863.33887
4.602401474,14229.73633
4.623609459,9250.179688
4.644268007,10389.62012
4.665125624,30573.11133
4.686477923,25717.36328
4.707409472,15393.60938
4.728521656,10467.68457
4.749622956,12675.63574
4.770648292,11221.05469
4.79190129,10153.92871
4.812832073,15090.4043
4.833823024,10088.03516
4.854756108,13061.84277
4.87571154,13641.06055
4.897094007,9409.47168
4.91813869,11368.76172
4.938910142,33244.61328
4.960097789,9550.760742
4.981059225,21578.56445
5.001837459,15129.59375
5.02321389,8933.186523
5.044524458,9541.913086
5.065390109,11424.13477
5.086281708,11401.56836
5.10708754,11559.5459
5.128243839,10792.26953
5.149254858,11860.75586
5.169989239,10679.16016
5.190751607,12966.69629
5.211282356,14598.88184
5.232035608,11813.92676
5.252864809,10848.62988
5.273928073,10048.43652
5.294542209,12159.47363
5.315357557,10908.72949
5.336266489,11645.05957
5.356757108,23000.68555
5.377507126,17769.88867
5.398634989,10978.36523
5.419983875,13633.77051
5.441295675,30446.13281
5.462091342,15174.16504
5.483297959,16020.7207
5.504296707,10721.09863
5.525474957,10409.43164
5.546708476,11254.80762
5.56742144,16115.27637
5.587811306,13635.49023
5.608527958,13634.6875
5.629329124,12589.07422
5.650401289,15115.17871
5.671357357,12337.47656
5.692196758,11779.74121
5.712718093,38746.00391
5.73334699,15341.97656
5.75428574,13324.7207
5.775082023,9373.40918
5.796302457,10214.77832
5.817356542,8626.967773
5.838265124,58827.67969
5.858956893,11135.54102
5.879919409,11051.82715
5.90080159,9429.03418
5.921576956,10907.13574
5.942364406,12076.50586
5.963543776,14161.51465
5.984397423,15168.72852
6.005070642,18059.12695
6.026017923,20989.43359
6.046949859,12379.11426
6.067867123,9525.28125
6.088539973,14512.09668
6.109378425,32086.39844
6.130334992,39719.32422
6.151753759,14304.84277
6.172681009,20544.95703
6.193949993,16262.46191
6.214749173,12442.56836
6.235308956,23498.60547
6.256391326,11656.03125
6.277487206,19995.05273
6.29859449,12545.32227
6.319646723,17392.48828
6.340814542,12561.40137
6.361979508,10030.25
6.382880806,10460.15137
6.404022792,18482.80664
6.42525854,14160.45898
6.446496224,10532.95117
6.467720206,10973.41699
6.489004007,12926.20313
6.510087656,12132.16602
6.531153209,15951.12305
6.552336207,9644.651367
6.573680623,42221.30078
6.594822509,12103.07715
6.616268225,10478.65039
6.637456925,14709.72852
6.658880523,16474.33398
6.679732493,31995.72656
6.701004222,15799.81738
6.722379823,13061.93164
6.744176574,11660.89453
6.765711056,11651.57227
6.787119273,9918.473633
6.808537125,11895.37988
6.830002057,10907.10156
6.851682209,9579.834961
6.87341634,11516.27344
6.895507693,12838.14941
6.91729989,21203.46875
6.938671739,29972.05469
6.960564156,16545.85938
6.982563924,15964.60352
7.004777323,19520.02539
7.026027075,17540.22266
7.047511875,28695.50977
7.069444409,14540.4834
7.090971942,16772.75586
7.112590757,18441.85547
7.134297775,15386.52246
7.15587209,24766.3457
7.177688042,25168.36523
7.199401942,17940.16797
7.221025959,18794.33594
7.24243619,49474.51953
7.264488506,30678.54492
7.286387959,30132.82617
7.308409225,13726.48438
7.330996842,12140.64453
7.352854092,20866.42969
7.374614743,12887.70801
7.39597994,17641.02539
7.417853009,18953.55859
7.440246526,11332.58789
7.462481176,16298.35352
7.484615107,10747.17676
7.506471709,38659.03906
7.52826939,24031.64844
7.55028429,43888.05469
7.571735206,13693.98438
7.593799559,16556.74805
7.615722242,18113.23828
7.63794589,26137.74219
7.65953884,15529.44824
7.681084906,18234.40234
7.702673792,16529.72656
7.723740108,40271.94922
7.745431625,19194.19727
7.767393159,11308.53613
7.78957194,18485.12891
7.811366156,18519.89453
7.832860123,19301.78711
7.854418925,28292.72852
7.876279258,19773.21094
7.897677159,30722.56836
7.920102806,13462.87012
7.941914756,9665.822266
7.96378864,11138.00879
7.985548809,9604.883789
8.007463741,14190.1377
8.028945441,11785.30273
8.05062524,13091.97363
8.072701775,11414.27441
8.094633559,9172.600586
8.116883289,9696.286133
8.138140157,29164.39258
8.160174107,12075.99023
8.182036057,13761.06738
8.203784541,28269.10352
8.225541841,17210.88867
8.247361357,19245.01953
8.269096259,19682.46875
8.291081074,16792.29297
8.313028291,21201.77539
8.335081124,23537.92383
8.357003358,18523.3418
8.378488091,14947.55859
8.400474456,16468.94922
8.422198406,16297.27246
8.444364424,12108.68457
8.466087257,15425.3418
8.487986425,13691.08301
8.509840023,12305.31152
8.53187319,11448.85156
8.559142176,11129.08008
8.593740757,13439.82227
8.628339473,4895.808594
8.654947542,40607.50781
8.689538657,5946.394043
8.724137723,4072.701172
8.758736407,8691.294922
8.793335822,5922.216309
8.82662454,17628.21875
8.861217725,9632.663086
8.895817291,4368.894043
8.921563625,15230.43066
8.956006141,5168.330078
8.99059809,3495.05835
9.025197426,5015.767578
9.059798625,3842.943359
9.094395406,7685.027832
9.128994623,11761.52344
9.163593725,9385.433594
9.198192826,13729.29492
9.232792591,7461.129883
9.262041624,8591.226563
9.296640793,6991.770508
9.331010675,12135.97559
9.365605707,9475.279297
9.399623822,13594.57617
9.433003492,6746.172852
9.467603357,3798.145264
9.502202824,6423.439941
9.535864841,12711.02148
9.570467575,3929.060059
9.605066756,3697.142578
9.639668126,10033.46094
9.674265757,8312.879883
9.708864358,6570.739746
9.743464342,7504.688477
9.778062792,6248.312988
9.81266179,4687.487305
9.84727799,4572.65625
9.878143791,11187.76074
9.912743039,6650.862305
9.947342157,7698.683105
9.980743741,14108.33106
10.01534081,6900.534668
10.04993939,11127.36719
10.08453883,6839.89502
10.11913857,4533.735352
10.15373719,4459.345703
10.18833719,3472.743896
10.22293547,4637.247559
10.25753529,4082.574219
10.29213369,8290.069336
10.32674881,6450.444336
10.36134954,13426.24707
10.39594812,4383.710938
10.43054739,4622.255371
10.46514631,4887.269043
10.49974574,5639.349609
10.53434441,1240.940674
10.56104406,2833.057129
10.58619069,6808.140625
10.61094256,7982.115723
10.63474306,7841.803711
10.65778714,7440.847168
10.68121834,4330.177246
10.70481658,5040.884766
10.72853386,4148.249512
10.75130881,4898.858398
10.77323191,8122.958496
10.79567213,16764.7168
10.81793482,6506.635742
10.83994664,14115.49902
10.86212524,6984.725586
10.88425268,8046.153809
10.90577761,14366.21289
10.92753907,10408.29395
10.94940011,28214.55859
10.97100101,16500.96289
10.99286507,9795.862305
11.01421454,10251.89063
11.03602219,4848.895508
11.05769864,6516.772461
11.07924886,9650.783203
11.10093471,7516.356445
11.12300569,6720.680176
11.14471944,4791.797363
11.16695197,5790.756836
11.18858681,7983.601074
11.21001192,8291.757813
11.23130258,6688.708496
11.25289651,5159.523438
11.27453916,4745.638672
11.29597274,4731.187988
11.31715097,5735.557617
11.33835331,6102.045898
11.36016616,6421.441895
11.38191847,5828.781738
11.40322391,5891.270996
11.42422586,6498.321289
11.44582347,5362.377441
11.46665254,8005.808105
11.48764276,5742.371094
11.50901959,34299.99219
11.53000143,11143.52051
11.55106883,8352.194336
11.57198814,6156.754395
11.59321601,7577.276367
11.61416921,5998.8125
11.63503899,5748.413086
11.65537546,5738.29541
11.67553854,7319.721191
11.69651329,5547.997559
11.71699977,12829.04981
11.73785074,5922.900879
11.75827014,6666.734863
11.77893071,6428.808594
11.79974252,6235.416016
11.82021104,7022.501953
11.84134483,7462.493164
11.86269637,5119.192383
11.88351949,9536.678711
11.90443598,7653.307129
11.92572431,9084.425781
11.94630169,11976.08203
11.96739859,22329.71484
11.98836118,24250.23242
12.00873897,25211.11133
12.02980954,23835.84375
12.05066429,26081.75391
12.07186912,15695.23438
12.09271799,19771.08203
12.11403207,12024.16016
12.13508058,9121.867188
12.15631814,9352.320313
12.17712006,5977.21582
12.19794377,6059.065918
12.21899287,4698.358887
12.24008971,5901.074219
12.26110413,6051.074219
12.28222963,4893.468262
12.30347226,7634.648438
12.32455248,5746.554688
12.34483029,11102.50195
12.36650386,9130.588867
12.38772517,5353.09082
12.40861834,5892.660156
12.42976384,5019.963867
12.45117667,8573.344727
12.47272768,5468.489258
12.49434666,4613.041016
12.51585126,4815.602539
12.53688339,5390.85791
12.55862024,5179.276367
12.58028208,5230.402344
12.60176922,7612.976074
12.62268584,5541.624023
12.64412924,6167.677246
12.66554147,6393.333984
12.68681653,7905.262207
12.70869344,6008.562012
12.73044022,4996.191895
12.75213666,5630.694336
12.77371492,5768.765137
12.79511356,7740.609375
12.81665366,6680.422363
12.83840704,5464.5
12.85985678,6287.54541
12.88121864,8058.821289
12.90256274,5230.208496
12.92370109,5034.841309
12.94470126,6317.816895
12.96634271,6389.330566
12.98799499,5539.398926
13.00941266,7253.020996
13.03040237,6432.353027
13.05264889,5448.088867
13.07402072,7981.817383
13.09505799,7080.53125
13.11625566,7999.567383
13.13830951,7669.481445
13.16047439,5268.220215
13.18328126,6531.085449
13.20499856,8706.651367
13.22704082,6393.894531
13.24891363,5958.73291
