CHROMATOGRAM,
hela10k06.raw,
Data points: 3302,
Time,Intensity
0.00233142,31442.63281
0.03600074,4967.770996
0.06412214,9949.59375
0.091053656,10507.48828
0.118003991,13740.5752
0.145352808,11817.43457
0.172936924,12391.93848
0.200499208,10809.53223
0.227288424,11540.42871
0.25455896,14080.1709
0.281702891,11534.7168
0.307468024,20968.60742
0.334526292,12562.7041
0.362253176,12072.6543
0.389402659,11469.12695
0.416326542,14751.88379
0.443938843,11771.2168
0.47205371,12047.49121
0.498817225,14613.69629
0.526173174,12748.9502
0.552951709,10873.31836
0.579622224,19825.74219
0.60702364,13503.19922
0.634702173,11784.40918
0.662962523,10639.62305
0.690338424,12188.93164
0.717881742,13532.19629
0.745115192,24296.90039
0.772201657,11931.47559
0.80036776,11674.79883
0.827506724,12571.0791
0.854095307,15999.02539
0.882125858,13301.00781
0.909244409,12608.99316
0.93661394,14007.42188
0.964374375,11358.00098
0.991455991,14494.86035
1.018985493,12688.31055
1.046498675,11454.92676
1.074660225,12860.8457
1.101758324,19064.02734
1.129032007,12696.11231
1.15651921,10574.91895
1.184766558,11551.4375
1.211744339,13710.30664
1.239588224,14955.69727
1.266928159,12051.79883
1.294022293,12376.27148
1.321308258,13345.87207
1.349011424,12686.63574
1.377256925,11228.81348
1.404338923,18313.05859
1.431978408,12350.83496
1.458792376,13534.99512
1.486764307,10872.73242
1.514868207,11343.375
1.541951326,15216.37598
1.568343758,15190.0166
1.595610908,12588.99121
1.622992892,13040.12695
1.649995159,12527.22656
1.677309441,12669.10547
1.705461076,11528.02246
1.733069658,11337.37305
1.760741575,11860.61328
1.788254689,12183.88477
1.815960426,12504.46973
1.843373707,10770.0127
1.871102523,10797.37109
1.89835234,11920.53223
1.926221708,12873.63477
1.954721859,11152.9834
1.982508325,12403.31641
2.011554606,10296.00586
2.03946826,11871.79395
2.066620373,13966.50098
2.093650893,14725.74121
2.121538857,13520.18164
2.14969174,12626.58203
2.176355743,19877.64648
2.203410406,14572.22656
2.231021109,13310.05762
2.257863008,8749.842773
2.285264042,14006.39453
2.31329596,14222.49902
2.340887943,13697.51953
2.368548925,13204.88086
2.396037224,13208.52246
2.422601206,13078.65723
2.449634957,21929.17578
2.476257375,14220.16113
2.503568593,12752.46191
2.530781276,26890.76172
2.556936192,15484.50684
2.584661507,17827.12305
2.611729959,14798.24023
2.639845943,12835.13379
2.666451223,13083.43457
2.69444104,11815.88672
2.721524206,12869.29981
2.74993534,11124.6377
2.778011043,9385.779297
2.805552474,12249.58301
2.834119824,7752.518555
2.861420893,14607.21875
2.889334292,14168.54785
2.917070376,14484.43652
2.944525726,13710.58789
2.972030043,17892.22461
2.998775525,17993.91992
3.02633984,13727.62109
3.053536625,20489.33203
3.080391009,14561.61816
3.108292742,12950.53711
3.135973691,14231.90039
3.163655459,14386.86133
3.19137359,14818.88965
3.218837225,13868.82227
3.246033942,14770.10547
3.273243824,15641.96777
3.300622542,14419.80469
3.327751524,15948.73145
3.355184642,14530.51563
3.383168093,15750.62793
3.410901359,15546.84473
3.437848174,15411.54297
3.465687409,12885.9502
3.492555041,27190.04688
3.519209873,15005.85254
3.546830208,14511.41895
3.57455279,13025.04785
3.60157961,11730.33301
3.628164124,12242.45898
3.654923124,12064.37793
3.681399257,35393.35547
3.709111892,14587.27637
3.736282109,15052.87402
3.763636258,32255.86133
3.790822223,16723.61523
3.817412976,14215.08301
3.845349593,15001.74609
3.872584676,14041.25879
3.900008157,14497.40527
3.926605093,13030.66406
3.952833207,15540.65918
3.97984149,11688.04688
4.006599541,14298.40527
4.034105606,12722.45606
4.061655274,11687.17578
4.088348674,27411.00391
4.116306193,13372.61328
4.14330449,15286.53027
4.170248325,14184.48926
4.197585876,29982.67383
4.224748074,14485.51758
4.251486356,13898.08203
4.278337792,12671.65918
4.305433908,12994.90527
4.332756125,10826.10742
4.359280625,13916.66016
4.385525341,19298.06445
4.41137551,15177.03418
4.437946573,16668.79102
4.465155108,14521.47266
4.491782307,15286.3584
4.518154342,19806.58203
4.54444849,15206.90332
4.571419393,15035.5791
4.598299975,13245.28125
4.624730443,15346.31836
4.650749273,14434.88281
4.676876242,18808.32031
4.70314149,16392.57617
4.729650989,15692.09863
4.755633973,31623.60547
4.782393073,16515.00586
4.807991492,17218.70703
4.834224243,16155.70117
4.859911107,41759.44531
4.886145376,19385.16211
4.911491592,16768.80859
4.937096257,19480.26953
4.962756343,19027.57031
4.989156142,18402.14063
5.014632908,21180.08398
5.040480057,17345.42969
5.066534208,12253.32324
5.09242864,31816.37305
5.117755857,27754.03516
5.143026876,31674.63867
5.167706441,40072.10547
5.193690291,28746.42188
5.218750643,29503.54297
5.24371736,16631.35156
5.269417758,15668.71289
5.294824643,44132.43359
5.321021008,18299.82227
5.34669179,17864.03711
5.372583691,16916.13477
5.398427076,15548.15234
5.423186909,19235.58984
5.448356659,34287.45313
5.473839008,24139.47461
5.49980756,12943.89453
5.524844574,14771.29395
5.550035508,18682.48828
5.57536989,15655.33984
5.600727343,15785.91406
5.626448225,13497.26856
5.651686775,16191.42578
5.677675942,14809.0293
5.703098439,14469.46484
5.728762058,15067.50195
5.754397658,12941.30664
5.779373693,14640.05762
5.804728507,18251.22852
5.830889041,14707.61328
5.856482557,17558.0332
5.882604225,15882.06152
5.908319723,19754.56445
5.933917975,14991.98633
5.959490275,16142.63281
5.984266376,16614.64648
6.009614058,19798.70703
6.034165493,17485.99414
6.058828758,23581.05469
6.084036326,15722.27441
6.10922954,14759.75391
6.134429124,22987.16406
6.159706206,15129.81055
