#"+ Scan (rt: 14.285 min) nostir_75um_sp-r004.d "
#Point,X(Thompsons),Y(Counts)
0,1130.31665,1108.51513671875
1,1142.13806,1108.7734375
2,1147.15128,1782.90649414063
3,1147.20828,1381.70129394531
4,1150.43559,1260.88903808594
5,1150.65017,1127.02294921875
6,1158.82462,1308.00354003906
7,1164.41829,1311.69104003906
8,1164.97549,1129.32604980469
9,1168.02638,1105.56005859375
10,1169.47408,1194.03540039063
11,1178.48402,1109.20471191406
12,1178.92225,1095.34948730469
13,1181.21199,1105.11254882813
14,1182.17955,1327.62951660156
15,1182.81116,1134.37890625
16,1183.10074,1251.79162597656
17,1183.38248,1287.09948730469
18,1183.54309,1187.53100585938
19,1186.79907,1212.36889648438
20,1186.96318,1232.32019042969
21,1187.51956,1122.09423828125
22,1189.15880,1734.80920410156
23,1189.62090,1262.3798828125
24,1190.89669,1255.37133789063
25,1194.29845,1386.93798828125
26,1194.66536,1161.08020019531
27,1197.90533,1221.44006347656
28,1201.22374,1146.22412109375
29,1201.37305,1486.73474121094
30,1204.57146,1488.03930664063
31,1205.22413,1141.294921875
32,1206.22340,1187.09887695313
33,1206.68268,1117.79626464844
34,1206.85634,1120.18579101563
35,1207.00680,1190.88464355469
36,1208.24870,1426.43786621094
37,1208.82351,1477.09545898438
38,1209.19798,1287.69409179688
39,1209.90355,1161.544921875
40,1210.12630,1711.06066894531
41,1210.24496,1520.7919921875
42,1210.62092,1098.56823730469
43,1210.80530,1261.75561523438
44,1212.19029,1286.55712890625
45,1212.66892,1107.04541015625
46,1213.94039,1198.48168945313
47,1214.77062,1222.10314941406
48,1214.92542,1462.02075195313
49,1215.05012,1362.16149902344
50,1216.69981,1394.24938964844
51,1217.65072,1146.72058105469
52,1217.83509,1222.07446289063
53,1218.34383,1109.65759277344
54,1220.98964,1145.68640136719
55,1224.72031,1725.18115234375
56,1225.50297,1306.30883789063
57,1225.93393,1452.34777832031
58,1226.11080,1106.26635742188
59,1226.80688,1278.07470703125
60,1227.69683,1213.22351074219
61,1228.13995,1411.72668457031
62,1228.29758,1120.08337402344
63,1228.77969,1227.001953125
64,1230.51792,1412.16162109375
65,1230.89196,1269.72155761719
66,1231.05334,1862.51159667969
67,1231.22787,1811.07641601563
68,1232.02268,1617.00073242188
69,1232.75927,1152.04345703125
70,1233.44527,1377.33605957031
71,1233.75925,2133.28125
72,1233.88917,1217.95727539063
73,1234.33389,1218.05078125
74,1234.43562,1336.85607910156
75,1234.63381,1326.48815917969
76,1236.87976,1344.28088378906
77,1237.53727,1142.8642578125
78,1238.33236,1179.76928710938
79,1238.88241,1323.38549804688
80,1239.07086,1496.40234375
81,1239.21519,1148.30407714844
82,1239.99241,1617.68994140625
83,1240.29474,1163.25622558594
84,1241.26936,1358.34008789063
85,1241.82947,1146.49011230469
86,1242.36170,2442.14404296875
87,1242.54650,1896.1875
88,1242.66641,1560.18994140625
89,1243.79787,1865.63110351563
90,1243.95669,1290.31201171875
91,1244.05891,1179.400390625
92,1244.78378,1288.16259765625
93,1245.59793,1152.66821289063
94,1246.41332,1449.20642089844
95,1246.84251,1268.20166015625
96,1247.15927,1564.03857421875
97,1247.81904,1472.13159179688
98,1248.46521,1143.20227050781
99,1248.57484,1129.45153808594
100,1248.89359,1319.47216796875
101,1249.09957,1092.76391601563
102,1249.53235,1118.04309082031
103,1249.72720,1261.77819824219
104,1249.83747,1174.96154785156
105,1249.91742,1207.81457519531
106,1250.20622,1276.60559082031
107,1251.28679,1327.5263671875
108,1251.47477,1202.00939941406
109,1251.64042,1634.78381347656
110,1251.76309,1139.38818359375
111,1251.83448,1561.53759765625
112,1252.03604,1213.31628417969
113,1252.24092,1209.65563964844
114,1252.36919,1152.57446289063
115,1252.93683,1292.53149414063
116,1253.44746,1383.26489257813
117,1253.61133,1725.86193847656
118,1254.20090,1956.77709960938
119,1254.33189,1412.85229492188
120,1254.40059,1218.68176269531
121,1254.49973,1606.06311035156
122,1254.85889,1292.02563476563
123,1255.30185,1142.01672363281
124,1255.46469,2040.68090820313
125,1255.54824,1301.88891601563
126,1255.87684,2016.12744140625
127,1256.28168,1567.75
128,1256.37069,1250.11486816406
129,1256.56493,1581.11840820313
130,1256.77630,2411.08374023438
131,1257.04644,1708.70324707031
132,1257.53548,1449.81408691406
133,1257.93987,2374.79956054688
134,1258.40701,1552.36901855469
135,1258.59547,1322.88818359375
136,1258.80100,1275.44006347656
137,1258.97050,1428.80029296875
138,1259.44962,1759.07556152344
139,1259.65830,1166.10510253906
140,1259.92000,1785.2509765625
141,1260.10194,2291.97631835938
142,1260.63483,1438.88891601563
143,1260.86801,1975.22229003906
144,1261.09126,1670.365234375
145,1261.28610,1184.48181152344
146,1261.61142,1508.28051757813
147,1261.66835,1105.57092285156
148,1262.25380,1093.01403808594
149,1262.65517,1227.23071289063
150,1262.90277,1303.55529785156
151,1263.00532,1167.25
152,1263.82254,1273.02282714844
153,1264.02271,1173.40832519531
154,1264.21065,1666.7109375
155,1264.48530,1140.59814453125
156,1264.57634,1299.06640625
157,1264.95091,1790.1552734375
158,1265.76764,1478.96203613281
159,1265.81327,1106.06127929688
160,1265.90982,1140.9658203125
161,1266.04933,1160.71105957031
162,1267.17745,1584.6748046875
163,1267.59480,1621.6015625
164,1267.84766,1249.2041015625
165,1267.96266,1269.91088867188
166,1268.03441,1411.6162109375
167,1268.51027,1094.06665039063
168,1268.77155,1167.96704101563
169,1269.55674,1097.80737304688
170,1270.00009,1133.34973144531
171,1270.87600,2153.7783203125
172,1270.99447,1516.10083007813
173,1271.09937,1450.84118652344
174,1271.30306,1489.91833496094
175,1271.64426,1179.71911621094
176,1271.93509,1533.44165039063
177,1272.00461,1460.52087402344
178,1272.07272,1138.78674316406
179,1272.17970,1632.22241210938
180,1272.25638,1267.05297851563
181,1272.96233,1139.76586914063
182,1273.23172,1344.14404296875
183,1274.05255,1845.00268554688
184,1274.14569,1610.85205078125
185,1274.21382,1637.02844238281
186,1274.28673,1681.06237792969
187,1274.39035,1657.08544921875
188,1274.58615,1753.0830078125
189,1274.72446,1335.03662109375
190,1274.83761,1145.19055175781
191,1275.16820,1576.79626464844
192,1275.46772,1189.15856933594
193,1275.75772,1271.23669433594
194,1276.23161,1808.63269042969
195,1276.30967,1241.92919921875
196,1276.73624,2212.13330078125
197,1276.87036,1428.69995117188
198,1277.13406,1516.84252929688
199,1277.48918,1292.86669921875
200,1277.71636,1791.47888183594
201,1277.91324,1530.69189453125
202,1278.28979,2686.6611328125
203,1278.57828,2053.07006835938
204,1278.67161,1456.13232421875
205,1278.80579,2606.7421875
206,1278.90505,2338.5244140625
207,1279.11153,1781.16906738281
208,1279.21227,1172.18127441406
209,1279.36280,1414.04992675781
210,1279.72313,1221.02075195313
211,1279.94703,1778.994140625
212,1280.09665,1202.16076660156
213,1280.22933,1416.09436035156
214,1280.35945,1485.36779785156
215,1280.47891,1514.51586914063
216,1280.64126,2060.78149414063
217,1281.00964,1824.00610351563
218,1281.13982,1106.23706054688
219,1281.25239,1214
220,1281.43441,1532.55688476563
221,1281.70313,2145.01245117188
222,1281.84620,1588.02856445313
223,1281.98215,1714.61804199219
224,1282.07475,1814.34399414063
225,1282.22612,1173.63122558594
226,1282.53040,1455.14904785156
227,1282.86175,1573.35900878906
228,1283.11231,1504.38781738281
229,1283.19642,1278.53466796875
230,1283.24857,1354.66271972656
231,1283.58280,1776.11462402344
232,1283.75901,1562.84252929688
233,1283.85510,1132.0634765625
234,1284.00345,1279.15100097656
235,1284.48808,1156.01782226563
236,1285.11355,1814.2353515625
237,1285.35827,1844.90563964844
238,1285.62004,1579.58068847656
239,1286.16179,1400.36108398438
240,1286.53395,1258.62707519531
241,1286.71907,1704.49829101563
242,1286.79365,1440.00439453125
243,1286.85023,1396.81872558594
244,1286.99580,1459.3349609375
245,1287.52775,1449.88940429688
246,1287.85207,1468.08337402344
247,1287.93893,1377.11633300781
248,1288.10007,1384.32922363281
249,1288.52820,1604.08471679688
250,1288.78217,1346.66735839844
251,1289.03532,1180.48779296875
252,1289.23435,1162.85131835938
253,1289.48671,1312.69616699219
254,1289.56890,1249.267578125
255,1289.79389,1657.02502441406
256,1290.07475,1225.02258300781
257,1290.50627,1089.07495117188
258,1290.91860,1124.81079101563
259,1291.48562,1099.45434570313
260,1291.73769,1102.61254882813
261,1292.02118,1118.26245117188
262,1292.23498,1796.74389648438
263,1292.61152,1938.59973144531
264,1292.78797,1099.59228515625
265,1292.84687,1128.42028808594
266,1292.99132,1168.16638183594
267,1293.27267,1413.18176269531
268,1293.50301,1145.45727539063
269,1293.75521,1245.79248046875
270,1293.84903,1205.92822265625
271,1293.89930,1104.72729492188
272,1294.11269,1526.02783203125
273,1294.22458,2071.17431640625
274,1294.36513,1610.11254882813
275,1294.45162,1435.10241699219
276,1294.70179,1234.80261230469
277,1295.01450,1881.12622070313
278,1295.21249,1483.80480957031
279,1295.64490,1690.54443359375
280,1295.76415,1753.80859375
281,1295.89748,2534.05004882813
282,1296.00930,2118.08178710938
283,1296.39300,1476.97973632813
284,1296.78824,1153.00207519531
285,1297.24950,1363.59240722656
286,1297.41491,2451.79052734375
287,1297.47810,1492.50671386719
288,1297.67058,2118.04028320313
289,1297.84695,1508.17614746094
290,1297.93914,1209.015625
291,1297.99822,1246.54638671875
292,1298.19738,1910.98815917969
293,1298.34814,1508.88000488281
294,1298.42992,1187.23193359375
295,1298.60077,1395.4921875
296,1298.77649,1664.61267089844
297,1298.97669,1314.572265625
298,1299.11517,1691.33374023438
299,1299.21445,1456.23669433594
300,1299.30583,1535.18176269531
