#"+ Scan (rt: 16.769 min) nostir_75um_sp-r003.d "
#Point,X(Thompsons),Y(Counts)
0,600.22803,926.899780273438
1,600.31982,296.375
2,600.87812,324.136779785156
3,600.97307,586.790405273438
4,601.25549,1035.34008789063
5,601.48861,338.013336181641
6,602.26615,634.144165039063
7,602.81024,398.5556640625
8,603.03392,288.254913330078
9,603.16431,564.003662109375
10,603.26000,424.966064453125
11,603.39153,295.149993896484
12,604.23841,484.112670898438
13,604.30097,384.661010742188
14,604.71981,331.398895263672
15,604.98216,342.543273925781
16,605.25938,612.973999023438
17,605.56266,676.18505859375
18,605.93172,430.160095214844
19,605.97472,484.012084960938
20,606.04371,371.797088623047
21,606.27636,728.650024414063
22,606.74654,846.049621582031
23,606.80429,360.420135498047
24,607.06950,336.777160644531
25,607.24285,689.450012207031
26,607.29900,543.398376464844
27,607.54396,328.005432128906
28,607.96899,474.671630859375
29,608.15951,338.522521972656
30,608.25471,893.115417480469
31,608.42157,905.173217773438
32,608.57911,610.363464355469
33,608.76437,448.637115478516
34,608.93100,602.445861816406
35,608.98548,591.253967285156
36,609.23790,514.14990234375
37,609.31784,593.474792480469
38,609.47876,377.975311279297
39,609.55923,314.938903808594
40,609.94471,550.012756347656
41,610.18567,376.559326171875
42,610.28787,751.333984375
43,610.58682,287.304809570313
44,610.73377,470.703948974609
45,611.00299,335.642333984375
46,611.06838,302.227203369141
47,611.26550,941.599975585938
48,611.64292,400.685150146484
49,611.73916,289.071838378906
50,612.00761,451.931030273438
51,612.28346,498.92626953125
52,612.73299,345.562774658203
53,612.80196,406.149810791016
54,612.91421,296.222351074219
55,612.99457,1017.07727050781
56,613.04050,331.072723388672
57,613.25449,1121.55554199219
58,613.32164,351.628570556641
59,613.39281,613.339660644531
60,613.49761,548.409912109375
61,613.61561,560.067321777344
62,613.75651,665.858764648438
63,613.79268,478.100006103516
64,614.07027,347.334991455078
65,614.28489,1320.86267089844
66,614.35822,331.121276855469
67,614.58504,577.693969726563
68,614.72961,318.347229003906
69,615.32366,1035.64770507813
70,615.48705,298.005554199219
71,615.57155,328.143524169922
72,615.93388,336.480041503906
73,616.04253,322.714294433594
74,616.23348,473.024993896484
75,616.26801,334.641998291016
76,616.72473,294.177520751953
77,616.79864,280.132354736328
78,617.12377,305.900848388672
79,617.18758,326.332672119141
80,617.26383,852.689819335938
81,617.35621,389.879058837891
82,617.49167,426.064483642578
83,617.60712,290.204559326172
84,617.65235,392.955047607422
85,617.76291,374.014495849609
