#"+ Scan (rt: 15.421 min) nostir_75um_sp-r003.d "
#Point,X(Thompsons),Y(Counts)
0,600.28634,2576.82861328125
1,600.45089,365.580505371094
2,600.79956,1220.37658691406
3,601.06596,384.396728515625
4,601.29484,1143.375
5,601.72711,387.562164306641
6,601.80009,389.017852783203
7,602.30437,862.152404785156
8,602.81776,451.306030273438
9,603.30178,803.896301269531
10,603.75882,392.795928955078
11,604.29629,626.440795898438
12,604.59981,760.053527832031
13,604.90622,445.058868408203
14,605.02659,471.301940917969
15,605.28970,532.409118652344
16,605.53412,611.178588867188
17,605.59657,526.2548828125
18,605.78034,526.015380859375
19,606.30017,1222.14721679688
20,606.41062,851.753601074219
21,606.46448,891.905395507813
22,606.51499,694.385681152344
23,606.61647,444.142456054688
24,606.71999,380.282684326172
25,607.27966,769.388671875
26,607.35813,635.793579101563
27,607.44179,392.080352783203
28,607.99125,560.903686523438
29,608.17071,364.440002441406
30,608.29293,523.809997558594
31,608.34373,489.044311523438
32,608.39388,413.111358642578
33,608.79458,374.097595214844
34,609.12769,552.512512207031
35,609.78630,374.218994140625
36,609.91229,447.553833007813
37,610.30005,486.449798583984
38,610.54907,380.041656494141
39,610.70059,412.580871582031
40,610.96080,554.125
41,611.12349,443.852081298828
42,611.23052,614.389221191406
43,611.28039,711.326599121094
44,611.35075,368.001068115234
45,611.79701,505.502593994141
46,612.60522,382.024993896484
47,613.16802,372.024993896484
48,613.30629,485.421875
49,613.51642,375.041656494141
50,614.29732,903
51,614.82435,761.093017578125
52,614.97715,449.851348876953
53,615.04650,376.889007568359
54,615.29287,491.048767089844
55,615.34673,831.343017578125
56,615.62513,427.283813476563
57,616.04363,573.333312988281
58,616.20406,1027.033203125
59,616.27542,572.413330078125
60,616.63590,386.938323974609
61,617.29802,903.195190429688
62,617.33369,963.032165527344
63,617.53037,430.166473388672
64,617.59196,543
65,617.90266,470.555053710938
66,618.05460,668.065063476563
67,618.26626,858.033508300781
68,619.30012,1268.12133789063
69,620.22232,495.546813964844
70,620.29055,823.644470214844
71,620.49414,448.664459228516
72,620.61657,406.843139648438
73,621.07089,391.938323974609
74,621.25574,586.89794921875
75,621.31966,879.580444335938
76,621.55634,379
77,621.82890,903.468933105469
78,622.16071,537.182861328125
79,622.29594,510.533081054688
80,623.38998,394.086547851563
81,623.45010,354.495880126953
82,624.00349,472.3828125
83,624.42255,404.136871337891
84,624.54015,368.548828125
85,624.75281,690.719848632813
86,624.79725,738.2109375
87,625.27314,1051.21008300781
88,625.77061,360.346160888672
89,626.04695,364.350006103516
90,626.27947,697.273620605469
91,626.41024,423.740936279297
92,626.56139,517.111083984375
93,626.63646,373.346252441406
94,626.93992,724.951293945313
95,626.98592,525.795959472656
96,627.06562,655.289489746094
97,627.18566,585.030395507813
98,627.29207,542.380187988281
99,627.33102,500.491241455078
100,627.67152,936.380310058594
101,627.74637,704.922058105469
102,627.85105,707.778198242188
103,627.99955,736.489868164063
104,628.14676,852.677734375
105,628.22083,752.576538085938
106,628.28273,1139.81823730469
107,628.41223,703.305114746094
108,628.78376,4573.22802734375
109,628.91622,2780.60888671875
110,628.95885,2489.40258789063
111,629.03058,1922.03210449219
112,629.14403,500.000823974609
113,629.29424,1236.83020019531
114,629.47742,1513.0625
115,629.55830,894.611572265625
116,629.61713,601.245910644531
117,629.71295,567.107482910156
118,629.81957,1123.2216796875
119,629.89315,541.711791992188
120,630.26347,716.585815429688
121,630.47977,576.599975585938
122,630.53608,417.481475830078
123,630.59213,431.012359619141
124,630.73406,394.973999023438
125,630.89681,420.614776611328
126,630.98155,992.016174316406
127,631.62028,449.005950927734
128,631.75479,427.273071289063
129,631.98180,727.776916503906
130,632.05356,840.562805175781
131,632.20612,982.913513183594
132,632.29906,811.17236328125
133,632.33871,534.0947265625
134,632.72036,393.021270751953
135,633.22503,581.8642578125
136,633.29595,612.426147460938
137,633.39893,532.670166015625
138,633.80710,538.061279296875
139,633.89597,729.162658691406
140,633.97802,718.810791015625
141,634.04277,877.30078125
142,634.15530,404.506225585938
143,634.21099,783.00439453125
144,634.30089,1167.5
145,634.34407,584.066650390625
146,634.98010,505.10107421875
147,635.02810,409.677764892578
148,635.31210,802.339111328125
149,635.82427,588.280029296875
150,635.98458,452.783142089844
151,636.05940,1179.02661132813
152,636.31345,1546.60717773438
153,636.64163,774.249206542969
154,636.82529,658.402465820313
155,637.28647,1106.27905273438
156,637.34531,597.538024902344
157,637.64798,539.828430175781
158,637.80421,1298.44445800781
159,637.87302,535.14990234375
160,638.04820,528.141479492188
161,638.09756,503.347686767578
162,638.30274,1317.96032714844
163,638.53435,486.333343505859
164,638.87464,377.003570556641
165,639.30966,636.204895019531
166,639.80099,549.338623046875
167,639.89753,419.238220214844
168,640.19256,424.875
169,640.30932,682.200500488281
170,641.27026,578.010620117188
171,641.35530,493.088165283203
172,641.57095,566.710998535156
173,641.68129,429.120025634766
174,641.82040,436.533630371094
175,642.38665,408.138458251953
176,642.53313,387.470581054688
177,642.63352,508.321807861328
178,642.83460,526.864685058594
