#"+ Scan (rt: 14.876 min) nostir_75um_sp-r008.d "
#Point,X(Thompsons),Y(Counts)
0,602.30696,974.960632324219
1,603.29230,513.053588867188
2,611.37685,343.349212646484
3,614.42588,434.994140625
4,616.39681,314.859527587891
5,619.28367,682.280334472656
6,624.32019,597.088745117188
7,638.36673,435.376922607422
8,643.35308,314.004913330078
9,643.89234,423.598236083984
10,645.67616,306.853393554688
11,650.93937,338.470062255859
12,653.84652,304.375
13,653.91669,465.240509033203
14,654.32166,347.736114501953
15,654.53729,506.025177001953
16,656.14557,313.373168945313
17,656.31834,318.1875
18,657.32617,397.716247558594
19,658.55866,548.105102539063
20,658.63873,358.253021240234
21,658.69222,354.804870605469
22,659.53339,1042.24340820313
23,659.63876,2853.47802734375
24,659.71040,4438.2001953125
25,659.78367,3595.5166015625
26,659.85482,2185.97631835938
27,659.95446,1379.35217285156
28,660.09073,683.018981933594
29,660.16874,391.227447509766
30,660.25327,526.148803710938
31,660.64805,385.000549316406
32,660.70579,657.669616699219
33,660.78094,383.889099121094
34,660.86400,611.115417480469
35,660.92700,493.034332275391
36,661.01628,382.334259033203
37,661.08064,358.486419677734
38,661.16417,308
39,661.35646,966.001037597656
40,661.86214,347.959320068359
41,662.08483,348.865631103516
42,662.26609,296.102508544922
43,662.38468,416.620147705078
44,663.15892,328.206909179688
45,663.31087,713.720397949219
46,663.86697,313.061279296875
47,664.48004,348.080352783203
48,666.35038,515.04541015625
49,666.93205,508.653076171875
50,668.02246,330.004302978516
51,668.32588,298.451324462891
52,668.60515,421.562133789063
53,668.69814,367.010406494141
54,669.31636,376.778076171875
55,669.56426,514.282043457031
56,670.05814,342.272399902344
57,671.71438,422.876586914063
58,674.28412,325.049713134766
59,674.84332,951.570739746094
60,675.34568,1297.56298828125
61,675.70884,321.862396240234
62,675.84667,745.790710449219
63,676.34374,406.123199462891
64,679.35552,357.697570800781
65,685.84921,319.163299560547
66,698.08077,362.568176269531
67,698.57111,305.465393066406
68,698.83936,375.603454589844
69,704.13976,387.720916748047
70,705.15932,387.451507568359
71,705.34365,320.199493408203
72,705.90777,309.535705566406
73,706.02858,408.609527587891
74,706.07148,300.456909179688
75,706.34292,551.990234375
76,708.92335,321.280029296875
77,709.75499,415.041656494141
78,709.86165,347.875
79,710.91652,524.376708984375
80,711.75636,404.653076171875
81,712.01541,399.239685058594
82,712.35524,367.980133056641
83,712.93773,390.946136474609
84,713.00725,332.286651611328
85,713.25204,306.25
86,713.34539,700.631225585938
87,713.47779,307.723358154297
88,713.71896,574.201232910156
89,713.84450,302.336120605469
90,713.92431,316.782409667969
91,714.19463,422.855133056641
92,714.28313,416.878051757813
93,714.43050,1383.56762695313
94,714.51558,4435.8818359375
95,714.60102,4733.6806640625
96,714.68324,6589.13671875
97,714.77543,5209.4287109375
98,714.84986,4500.3828125
99,714.92896,3685.08154296875
100,715.00537,2094.74609375
101,715.10549,1438.89782714844
102,715.18091,1066.87963867188
103,715.33926,435.314880371094
104,715.38327,330.550567626953
105,715.52730,431.628265380859
106,715.56813,442.671295166016
107,715.67139,414.905670166016
108,715.76916,868.015380859375
109,715.87051,955.12255859375
110,715.91727,568.344177246094
111,716.01308,1322.30712890625
112,716.09283,436.109588623047
113,716.17587,627.635620117188
114,716.93215,502.211853027344
115,717.09436,449.415893554688
116,717.19891,567.339172363281
117,717.38491,906.333312988281
118,717.88514,411.45361328125
119,718.18513,342.579895019531
120,718.37041,381.692626953125
121,718.69051,402.476531982422
122,719.00754,536.444519042969
123,719.39601,341.119171142578
124,719.88658,371.449005126953
125,720.00598,380.905426025391
126,720.09257,655.65283203125
127,720.93830,399.574401855469
128,721.11905,310.530609130859
129,722.20206,304.144226074219
130,722.67548,347.294555664063
131,723.89809,335.08447265625
132,725.88551,769.78125
133,725.92393,526.5625
134,726.37686,1313.59191894531
135,726.46555,856.43603515625
136,726.57305,826.859497070313
137,726.68349,1409.07604980469
138,726.79404,792.894165039063
139,726.92151,527.001220703125
140,727.40837,376.568389892578
141,727.50411,499.350341796875
142,727.81223,314.612487792969
143,727.86537,621.25
144,728.31666,358.597106933594
145,728.44896,517.26318359375
146,728.69861,521.059204101563
147,731.08400,325.236755371094
148,731.38924,1348.88195800781
149,731.82824,635.9521484375
150,731.89092,961.103454589844
151,734.64390,649.7626953125
152,734.69978,446.510803222656
153,738.84332,325.414215087891
154,739.89492,386.231414794922
155,740.02424,359.293701171875
156,740.63385,353.785125732422
157,744.63377,298.024993896484
158,746.49217,327.0009765625
159,748.17777,342.020935058594
160,749.22572,312.760528564453
161,752.09836,325.324157714844
162,752.14635,354.517395019531
163,760.22013,321.289459228516
164,760.36656,372.166107177734
165,762.96529,385.547515869141
166,763.67000,319.419342041016
167,764.59268,302.408782958984
168,765.32632,357.009246826172
169,767.90866,342.546722412109
170,772.02767,340.479522705078
171,772.84483,637.825866699219
172,772.92179,573.884704589844
173,773.04326,366.174987792969
174,773.41325,700.64208984375
175,774.18502,313.290191650391
176,774.40371,336.367340087891
177,774.53526,374.600006103516
178,775.37933,463.465362548828
179,776.29009,375.947723388672
180,778.02070,517.11767578125
181,778.36841,529.349792480469
182,778.46730,584.25
183,779.00617,346.880004882813
184,779.03958,303.702239990234
185,779.10711,311.360290527344
186,779.19295,753.009887695313
187,779.22051,667.302978515625
188,779.28674,1365.30200195313
189,779.37970,1097.78759765625
190,779.47708,2493.98608398438
191,779.55940,2672.18408203125
192,779.66178,3012.11254882813
193,779.75035,1668.88342285156
194,779.83412,1432.6728515625
195,779.93564,1029.783203125
196,780.11431,460.388488769531
197,780.27600,327.757568359375
198,780.36345,341.297607421875
199,780.64984,301.764312744141
200,780.93040,398.023498535156
201,781.01408,355.165985107422
202,781.10963,455.380157470703
203,781.19888,453.56005859375
204,781.90756,1736.97570800781
205,782.19398,484.235290527344
206,782.40995,1213.92077636719
207,782.59631,571.655334472656
208,782.90404,594.00390625
209,783.03286,346.058990478516
210,783.09892,345.352111816406
211,783.41574,529.307983398438
212,784.11197,327.52001953125
213,785.10658,570.142578125
214,786.64734,303.6875
215,788.18196,317.903198242188
216,789.85322,298.470581054688
217,789.92317,671.204162597656
218,790.43038,407.346313476563
219,790.89126,306.306976318359
220,792.99717,361.742980957031
221,794.39339,438.333343505859
222,794.91528,343.666656494141
223,795.41931,318.558715820313
224,799.68498,308.049987792969
225,799.82220,415.518585205078
226,801.82757,376.801727294922
227,802.35165,337.976348876953
228,808.41068,383.8173828125
229,812.07080,540.920104980469
230,813.67428,420.778137207031
231,815.65058,380.806427001953
232,817.01670,314.5625
233,817.14559,624.788330078125
234,817.26091,573.485778808594
235,817.39112,817.763916015625
236,817.53110,877.021301269531
237,819.06686,320.174987792969
238,820.71245,383.600006103516
239,821.47113,328.270324707031
240,823.36331,326.98779296875
241,824.44765,552.2802734375
242,824.56009,421.202545166016
243,825.97891,301
244,826.45554,339.029205322266
245,826.92610,299.090911865234
246,827.98078,463.745086669922
247,828.07474,317.160003662109
248,829.44895,510.117248535156
249,830.44021,352.805969238281
250,831.11272,319.877380371094
251,831.34991,374.375
252,833.39508,336.002349853516
253,835.51520,315.070343017578
254,838.45096,986.563842773438
255,838.94902,1114.84497070313
256,839.44879,399.857147216797
257,841.75060,322.681823730469
258,842.48105,459.164123535156
259,842.88281,375.339111328125
260,844.42268,454.032897949219
261,847.53008,402.822357177734
262,849.19646,410.84033203125
263,849.73743,315.429504394531
264,850.87272,414.067321777344
265,853.17303,295.225006103516
266,853.97300,920.615234375
267,854.22394,307.122955322266
268,854.36024,359.723419189453
269,854.45112,672.25
270,854.78963,431.232696533203
271,855.80246,438.166229248047
272,857.13096,585.224060058594
273,857.23138,590.831970214844
274,857.31436,444.753845214844
275,857.41248,803.91943359375
276,857.54790,422.556823730469
277,857.62599,398.191162109375
278,857.71082,473.001098632813
279,857.76607,329.523651123047
280,857.89234,359.794311523438
281,858.43490,434.490295410156
282,858.80327,393.556488037109
283,858.91305,719.435668945313
284,859.04596,337.222320556641
285,860.36041,314.535003662109
286,860.40643,341.018157958984
287,860.72157,341.078948974609
288,861.46535,423.375
289,862.25222,310.103820800781
290,862.89510,372.122131347656
291,863.99814,383.679016113281
292,866.51962,421.088226318359
293,867.78069,308.384094238281
294,869.70718,358.230407714844
295,870.74882,440.469451904297
296,876.42284,406.531036376953
297,877.01939,303.609771728516
298,877.53670,326.716705322266
299,879.72189,395.382720947266
300,879.92970,366.799987792969
301,883.30304,339.851257324219
302,883.37444,394.013549804688
303,884.21069,464.258056640625
304,888.78628,407.148162841797
305,888.84858,365.170654296875
306,888.96911,512.739990234375
307,891.16053,517.367614746094
308,891.72729,341.798156738281
309,892.08980,334.551330566406
310,892.90111,487.080047607422
311,893.00676,352.260345458984
312,893.86421,484.934692382813
313,893.97220,334.152404785156
314,894.03502,383.801971435547
315,894.08691,367.886138916016
316,894.22827,361.079986572266
317,894.28507,388.730102539063
318,894.56650,319.107147216797
319,895.25175,305.225738525391
320,900.28798,355.450653076172
321,900.45086,308.130310058594
322,900.77408,505.411773681641
323,902.96921,2582.609375
324,903.46738,2391.29614257813
325,903.64926,319.612487792969
326,903.75349,315.005950927734
327,903.96936,1385.66540527344
328,904.17697,327.673675537109
329,904.46236,682.280212402344
330,908.71691,324.414215087891
331,909.44383,365.021850585938
332,909.78783,468.3623046875
333,910.13137,484.1396484375
334,910.48138,378.168029785156
335,911.15687,418.455871582031
336,911.21220,384.930541992188
337,913.45645,617.349792480469
338,913.64504,864.889282226563
339,913.86711,550.528991699219
340,914.04817,512.885559082031
341,914.25731,687.428588867188
342,915.98921,324.695617675781
343,916.27818,359.128570556641
344,917.96565,316.222839355469
345,919.37174,305.012512207031
346,921.05688,348.959564208984
347,922.33758,298.075592041016
348,922.74210,299.391143798828
349,923.99011,337.462036132813
350,925.95559,482.983062744141
351,926.58811,410.286712646484
352,926.66886,311.98876953125
353,931.84918,361.7578125
354,933.78470,638.654418945313
355,933.86572,736.001098632813
356,934.03293,590.429748535156
357,934.11050,391.388458251953
358,936.10324,305.3837890625
359,936.17899,372.283813476563
360,937.63219,372.380279541016
361,938.47502,304.080871582031
362,939.37981,317.862213134766
363,940.76250,568.655151367188
364,942.44732,386.640258789063
365,942.59369,323.028839111328
366,943.61166,530.015502929688
367,944.10803,459.760650634766
368,944.88322,334.294921875
369,944.98879,339.814514160156
370,945.28005,420.256256103516
371,946.12349,411.702514648438
372,947.51136,336.662231445313
373,951.13936,468.761138916016
374,951.94250,295.785247802734
375,952.22024,362.222412109375
376,952.49594,1527.5849609375
377,952.58057,581.583312988281
378,952.91431,465.572357177734
379,952.99848,1536.68566894531
380,953.51037,806.633178710938
381,954.00407,611.115783691406
382,954.76867,442.610656738281
383,955.42984,311.4794921875
384,958.15533,355.928894042969
385,958.40627,375.662414550781
386,958.74352,307.849151611328
387,960.03430,383
388,960.21823,316
389,960.34978,671.138793945313
390,961.20232,431.047882080078
391,961.50499,329.570739746094
392,962.75035,386.530700683594
393,962.80967,409.711120605469
394,963.31509,331.775543212891
395,963.71787,427.731353759766
396,963.85074,513.053588867188
397,966.15925,360.455810546875
398,967.50075,349.113647460938
399,973.40037,302.5625
400,973.49956,478.721099853516
401,973.63507,307.680023193359
402,973.81362,442.001373291016
403,974.27436,518.719360351563
404,975.64258,592.736083984375
405,976.48042,340.273071289063
406,979.93142,313.240203857422
407,980.97350,372.510620117188
408,983.76461,446.470733642578
409,984.92726,440.888977050781
410,987.09055,583.4736328125
411,988.32131,324.983367919922
412,988.99365,314.020843505859
413,989.57185,326.375
414,990.12752,421.253753662109
415,990.96792,356.773254394531
416,992.02288,307.149261474609
417,993.75107,329.034484863281
418,993.85332,344.170288085938
419,993.96862,363.963226318359
420,994.40726,344.052093505859
421,995.42671,360.787506103516
422,995.72800,474.105590820313
423,996.48541,380.694305419922
424,996.77458,307.969085693359
425,997.51564,375.404998779297
426,998.69337,484.519226074219
427,1000.58708,529.160034179688
428,1000.75695,444.048461914063
429,1001.02446,394.914123535156
430,1001.11519,372.489807128906
431,1001.25437,763.041687011719
432,1001.52317,326
433,1002.00117,298.296295166016
434,1002.93140,354.977355957031
435,1003.50774,412.5625
436,1003.54701,295.014251708984
437,1003.84196,462.339294433594
438,1004.00324,342.008331298828
439,1004.16058,364.008850097656
440,1004.82940,575.529479980469
441,1004.92337,369.261199951172
442,1005.00751,356.281982421875
443,1005.47562,381.329071044922
444,1005.84075,400.014526367188
445,1005.91818,303.102264404297
446,1006.14460,302.611572265625
447,1007.59951,322.913818359375
448,1007.69123,567.850646972656
449,1008.02907,441.608032226563
450,1008.51042,425.333343505859
451,1009.48706,359.411773681641
452,1010.51099,477.140502929688
453,1010.59238,347.598419189453
454,1011.88006,429.120300292969
455,1012.00171,357.576538085938
456,1012.10670,355.455810546875
457,1012.35881,300.388153076172
458,1012.98541,307.614990234375
459,1013.81312,415.698974609375
