#"+ BPC Scan stir_50nm_sp-r012.d "
#Point,X(Minutes),Y(Counts)
0,0.050,1254
1,0.067,1007
2,0.084,942
3,0.100,1347
4,0.117,919
5,0.134,1213
6,0.150,1331
7,0.167,994
8,0.184,1135
9,0.200,944
10,0.217,1134
11,0.233,1000
12,0.250,1191
13,0.267,1334
14,0.283,2269
15,0.300,1254
16,0.317,1831
17,0.333,1111
18,0.350,968
19,0.366,1035
20,0.383,1009
21,0.400,730
22,0.416,1766
23,0.433,895
24,0.450,1308
25,0.466,1099
26,0.483,1026
27,0.500,1076
28,0.516,883
29,0.533,1167
30,0.549,1297
31,0.566,1201
32,0.583,948
33,0.599,1427
34,0.616,854
35,0.633,1082
36,0.649,1034
37,0.666,774
38,0.683,904
39,0.699,901
40,0.716,751
41,0.732,945
42,0.749,1358
43,0.766,864
44,0.782,1183
45,0.799,1240
46,0.816,891
47,0.832,935
48,0.849,583
49,0.865,685
50,0.882,764
51,0.899,761
52,0.915,792
53,0.932,857
54,0.949,866
55,0.965,1107
56,0.982,626
57,0.999,979
58,1.015,1356
59,1.032,944
60,1.048,1034
61,1.065,965
62,1.082,802
63,1.098,786
64,1.115,1021
65,1.132,1217
66,1.148,884
67,1.165,1008
68,1.181,925
69,1.198,917
70,1.215,910
71,1.231,1009
72,1.248,690
73,1.265,838
74,1.281,781
75,1.298,696
76,1.315,929
77,1.331,786
78,1.348,867
79,1.364,930
80,1.381,868
81,1.398,863
82,1.414,1119
83,1.431,827
84,1.448,681
85,1.464,775
86,1.481,779
87,1.498,731
88,1.514,682
89,1.531,658
90,1.547,1007
91,1.564,1326
92,1.581,811
93,1.597,817
94,1.614,686
95,1.631,713
96,1.647,840
97,1.664,638
98,1.680,877
99,1.697,771
100,1.714,685
101,1.730,643
102,1.747,614
103,1.764,608
104,1.780,1257
105,1.797,843
106,1.814,712
107,1.830,815
108,1.847,627
109,1.863,790
110,1.880,750
111,1.897,964
112,1.913,716
113,1.930,687
114,1.947,635
115,1.963,659
116,1.980,655
117,1.997,599
118,2.013,696
119,2.030,630
120,2.046,670
121,2.063,961
122,2.080,830
123,2.096,789
124,2.113,605
125,2.130,747
126,2.146,803
127,2.163,635
128,2.179,690
129,2.196,714
130,2.213,571
131,2.229,525
132,2.246,669
133,2.263,904
134,2.279,541
135,2.296,861
136,2.313,583
137,2.329,558
138,2.346,674
139,2.362,773
140,2.379,826
141,2.396,1041
142,2.412,1141
143,2.429,710
144,2.446,800
145,2.462,923
146,2.479,723
147,2.496,806
148,2.512,600
149,2.529,916
150,2.545,576
151,2.562,561
152,2.579,741
153,2.595,724
154,2.612,609
155,2.629,931
156,2.645,823
157,2.662,450
158,2.678,696
159,2.695,541
160,2.712,724
161,2.728,657
162,2.745,558
163,2.762,607
164,2.778,924
165,2.795,973
166,2.812,1121
167,2.828,994
168,2.845,882
169,2.861,877
170,2.878,1074
171,2.895,1219
172,2.911,729
173,2.928,698
174,2.945,744
175,2.961,693
176,2.978,794
177,2.995,874
178,3.011,1033
179,3.028,549
180,3.044,739
181,3.061,954
182,3.078,851
183,3.094,908
184,3.111,652
185,3.128,1006
186,3.144,539
187,3.161,697
188,3.177,746
189,3.194,850
190,3.211,872
191,3.227,616
192,3.244,517
193,3.261,709
194,3.277,761
195,3.294,842
196,3.311,739
197,3.327,745
198,3.344,667
199,3.360,1038
200,3.377,673
201,3.394,814
202,3.410,585
203,3.427,924
204,3.444,976
205,3.460,731
206,3.477,669
207,3.494,795
208,3.510,809
209,3.527,558
210,3.543,902
211,3.560,1157
212,3.577,585
213,3.593,600
214,3.610,765
215,3.627,611
216,3.643,853
217,3.660,726
218,3.676,602
219,3.693,949
220,3.710,775
221,3.726,863
222,3.743,763
223,3.760,700
224,3.776,569
225,3.793,670
226,3.810,773
227,3.826,752
228,3.843,828
229,3.859,664
230,3.876,765
231,3.893,795
232,3.909,1059
233,3.926,741
234,3.943,533
235,3.959,647
236,3.976,750
237,3.993,748
238,4.009,760
239,4.026,880
240,4.042,1020
241,4.059,592
242,4.076,690
243,4.092,598
244,4.109,959
245,4.126,684
246,4.142,979
247,4.159,1012
248,4.175,721
249,4.192,777
250,4.209,907
251,4.225,1060
252,4.242,729
253,4.259,632
254,4.275,672
255,4.292,716
256,4.309,597
257,4.325,913
258,4.342,731
259,4.358,953
260,4.375,1165
261,4.392,689
262,4.408,624
