"#""+ BPC Scan stir_75um_sp-r002.d """,,
#Point,X(Minutes),Y(Counts)
0,0.053,1351
1,0.069,1368
2,0.086,854
3,0.103,1072
4,0.119,963
5,0.136,1239
6,0.152,1306
7,0.169,1015
8,0.186,1129
9,0.202,891
10,0.219,1166
11,0.236,1033
12,0.252,1189
13,0.269,1498
14,0.286,809
15,0.302,1153
16,0.319,898
17,0.335,1093
18,0.352,1138
19,0.369,1193
20,0.385,1547
21,0.402,1102
22,0.419,985
23,0.435,1157
24,0.452,835
25,0.468,600
26,0.485,977
27,0.502,1324
28,0.518,741
29,0.535,860
30,0.552,797
31,0.568,1248
32,0.585,769
33,0.602,800
34,0.618,1422
35,0.635,997
36,0.651,932
37,0.668,1213
38,0.685,1027
39,0.701,1041
40,0.718,1438
41,0.735,1230
42,0.751,1949
43,0.768,1632
44,0.785,1027
45,0.801,1427
46,0.818,1086
47,0.834,1626
48,0.851,1277
49,0.868,796
50,0.884,1238
51,0.901,1269
52,0.918,1263
53,0.934,1211
54,0.951,1362
55,0.967,1032
56,0.984,1124
57,1.001,1345
58,1.017,1325
59,1.034,783
60,1.051,867
61,1.067,1039
62,1.084,1112
63,1.101,1045
64,1.117,1165
65,1.134,1003
66,1.15,1243
67,1.167,1126
68,1.184,1107
69,1.2,1250
70,1.217,1516
71,1.234,1497
72,1.25,1695
73,1.267,1033
74,1.284,1147
75,1.3,723
76,1.317,1041
77,1.333,1459
78,1.35,813
79,1.367,1092
80,1.383,1091
81,1.4,841
82,1.417,1292
83,1.433,1026
84,1.45,965
85,1.466,1062
86,1.483,1234
87,1.5,1112
88,1.516,1306
89,1.533,1007
90,1.55,1444
91,1.566,1224
92,1.583,1029
93,1.6,1635
94,1.616,1134
95,1.633,902
96,1.649,1401
97,1.666,1050
98,1.683,1422
99,1.699,821
100,1.716,1012
101,1.733,1007
102,1.749,1118
103,1.766,1183
104,1.783,870
105,1.799,1422
106,1.816,1001
107,1.832,816
108,1.849,1097
109,1.866,957
110,1.882,1254
111,1.899,1267
112,1.916,955
113,1.932,976
114,1.949,1276
115,1.965,727
116,1.982,952
117,1.999,1034
118,2.015,1141
119,2.032,965
120,2.049,1016
121,2.065,1092
122,2.082,1190
123,2.099,849
124,2.115,1037
125,2.132,812
126,2.148,1045
127,2.165,1225
128,2.182,959
129,2.198,1312
130,2.215,1150
131,2.232,1346
132,2.248,844
133,2.265,1037
134,2.282,1125
135,2.298,787
136,2.315,1168
137,2.331,1092
138,2.348,914
139,2.365,798
140,2.381,1024
141,2.398,1045
142,2.415,1146
143,2.431,930
144,2.448,967
145,2.464,1288
146,2.481,810
147,2.498,1597
148,2.514,1237
149,2.531,698
150,2.548,1351
151,2.564,741
152,2.581,712
153,2.598,1058
154,2.614,1403
155,2.631,1090
156,2.647,1099
157,2.664,1413
158,2.681,1733
159,2.697,841
