#"+ BPC Scan stir_75um_sp-r009.d "
#Point,X(Minutes),Y(Counts)
0,0.052,1771
1,0.069,1630
2,0.085,1320
3,0.102,1370
4,0.119,1106
5,0.135,1093
6,0.152,1258
7,0.168,1260
8,0.185,1244
9,0.202,1549
10,0.218,1831
11,0.235,1584
12,0.252,1191
13,0.268,1423
14,0.285,1600
15,0.302,1106
16,0.318,1212
17,0.335,1141
18,0.351,1159
19,0.368,1693
20,0.385,1050
21,0.401,1423
22,0.418,1760
23,0.435,1862
24,0.451,1076
25,0.468,1283
26,0.484,1261
27,0.501,1097
28,0.518,1184
29,0.534,1666
30,0.551,1515
31,0.568,1151
32,0.584,1024
33,0.601,1718
34,0.618,1426
35,0.634,1396
36,0.651,1417
37,0.667,1600
38,0.684,1343
39,0.701,1448
40,0.717,1386
41,0.734,1279
42,0.751,1907
43,0.767,1413
44,0.784,986
45,0.800,1450
46,0.817,1393
47,0.834,1486
48,0.850,1255
49,0.867,921
50,0.884,1278
51,0.900,1079
52,0.917,1237
53,0.934,1514
54,0.950,1666
55,0.967,1626
56,0.983,1406
57,1.000,1868
58,1.017,1278
59,1.033,1064
60,1.050,1361
61,1.067,1568
62,1.083,1526
63,1.100,1482
64,1.117,1313
65,1.133,1269
66,1.150,1595
67,1.166,1260
68,1.183,1551
69,1.200,1089
70,1.216,1489
71,1.233,1430
72,1.250,1187
73,1.266,1138
74,1.283,1362
75,1.299,1094
76,1.316,1045
77,1.333,1647
78,1.349,1162
79,1.366,1691
80,1.383,1037
81,1.399,1410
82,1.416,1245
83,1.433,1409
84,1.449,1007
85,1.466,1378
86,1.482,1510
87,1.499,1480
88,1.516,1602
89,1.532,1537
90,1.549,1200
91,1.566,1493
92,1.582,1265
93,1.599,1286
94,1.616,1232
95,1.632,1633
96,1.649,1757
97,1.665,2202
98,1.682,1328
99,1.699,1218
100,1.715,1621
101,1.732,1413
102,1.749,1651
103,1.765,1331
104,1.782,1032
105,1.798,1339
