#"+ BPC Scan nostir_50um_sp-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.055,1105
1,0.072,1131
2,0.088,2014
3,0.105,935
4,0.122,1306
5,0.138,1117
6,0.155,1282
7,0.172,1272
8,0.188,1275
9,0.205,1119
10,0.221,1487
11,0.238,1234
12,0.255,784
13,0.271,1318
14,0.288,1159
15,0.305,1181
16,0.321,1032
17,0.338,1275
18,0.354,1300
19,0.371,1138
20,0.388,989
21,0.404,1126
22,0.421,1311
23,0.438,752
24,0.454,1494
25,0.471,903
26,0.488,1333
27,0.504,1057
28,0.521,1359
29,0.537,892
30,0.554,969
31,0.571,1378
32,0.587,1101
33,0.604,863
34,0.621,1172
35,0.637,1000
36,0.654,975
37,0.671,1184
38,0.687,1467
39,0.704,1194
40,0.720,889
41,0.737,1290
42,0.754,1256
43,0.770,1090
44,0.787,1180
45,0.804,1050
46,0.820,1194
47,0.837,893
48,0.853,999
49,0.870,1125
50,0.887,1136
51,0.903,1031
52,0.920,1015
53,0.937,1111
54,0.953,841
55,0.970,878
56,0.987,1352
57,1.003,826
58,1.020,1627
59,1.036,1125
60,1.053,1044
61,1.070,811
62,1.086,951
63,1.103,1188
64,1.120,918
65,1.136,1092
66,1.153,864
67,1.170,1186
68,1.186,1214
69,1.203,765
70,1.219,1005
71,1.236,891
72,1.253,1135
73,1.269,1144
74,1.286,881
75,1.303,759
76,1.319,867
77,1.336,925
78,1.352,975
79,1.369,1313
80,1.386,1318
81,1.402,1545
82,1.419,1138
83,1.436,901
84,1.452,1022
85,1.469,939
86,1.486,1546
87,1.502,1091
88,1.519,808
89,1.535,696
90,1.552,1086
91,1.569,1286
92,1.585,806
93,1.602,1026
94,1.619,1045
95,1.635,1054
96,1.652,1400
97,1.669,1172
98,1.685,1068
99,1.702,1407
100,1.718,900
101,1.735,872
102,1.752,691
103,1.768,700
104,1.785,843
105,1.802,905
106,1.818,1261
107,1.835,1622
108,1.852,940
109,1.868,1202
110,1.885,1077
111,1.901,1606
112,1.918,981
113,1.935,845
114,1.951,1017
115,1.968,1517
116,1.985,994
117,2.001,1129
118,2.018,1242
119,2.035,1096
120,2.051,1213
121,2.068,1103
122,2.084,1128
123,2.101,895
124,2.118,902
125,2.134,1177
126,2.151,986
127,2.168,758
128,2.184,815
129,2.201,1090
130,2.217,1479
131,2.234,1079
132,2.251,1154
133,2.267,761
134,2.284,1068
135,2.301,954
136,2.317,1011
137,2.334,828
138,2.351,1612
139,2.367,1002
140,2.384,772
141,2.400,1034
142,2.417,1050
143,2.434,881
144,2.450,958
145,2.467,1028
146,2.484,1085
147,2.500,1012
148,2.517,1211
149,2.534,892
150,2.550,689
151,2.567,1103
152,2.583,1228
153,2.600,1076
154,2.617,1337
155,2.633,1281
156,2.650,1182
157,2.667,1403
158,2.683,1028
159,2.700,1071
160,2.716,1052
161,2.733,1410
162,2.750,747
163,2.766,1044
164,2.783,1134
165,2.800,1297
166,2.816,703
167,2.833,1062
168,2.850,1005
169,2.866,1081
170,2.883,833
171,2.899,986
172,2.916,1030
173,2.933,1073
174,2.949,1325
175,2.966,1078
176,2.983,1062
177,2.999,921
178,3.016,686
179,3.032,1264
180,3.049,1395
181,3.066,1204
182,3.082,967
183,3.099,930
184,3.116,971
185,3.132,1389
186,3.149,866
187,3.166,1130
188,3.182,1197
189,3.199,850
190,3.215,827
191,3.232,1716
192,3.249,865
193,3.265,1028
194,3.282,1268
195,3.299,1163
196,3.315,823
197,3.332,1138
198,3.349,890
199,3.365,888
200,3.382,991
201,3.398,1451
202,3.415,1311
203,3.432,1049
204,3.448,1291
205,3.465,935
206,3.482,1337
207,3.498,725
208,3.515,932
209,3.531,1534
210,3.548,1665
211,3.565,897
212,3.581,1140
213,3.598,1568
214,3.615,1262
215,3.631,1232
216,3.648,1215
217,3.665,1065
218,3.681,1269
219,3.698,1352
220,3.714,1491
221,3.731,870
222,3.748,714
223,3.764,1334
224,3.781,1175
225,3.798,894
226,3.814,1264
227,3.831,919
228,3.848,1240
229,3.864,996
230,3.881,1116
231,3.897,901
232,3.914,983
233,3.931,1004
234,3.947,1519
235,3.964,1090
236,3.981,1002
237,3.997,1046
238,4.014,1181
239,4.030,1386
240,4.047,1221
241,4.064,833
242,4.080,1062
243,4.097,1395
244,4.114,1505
245,4.130,829
246,4.147,1107
247,4.164,1098
248,4.180,1170
249,4.197,1070
250,4.213,976
251,4.230,808
252,4.247,889
253,4.263,1133
254,4.280,850
255,4.297,1243
256,4.313,1209
257,4.330,1258
258,4.347,1277
259,4.363,939
260,4.380,1503
261,4.396,1942
262,4.413,1081
263,4.430,764
264,4.446,1049
265,4.463,795
266,4.480,892
267,4.496,1028
268,4.513,1109
269,4.529,1064
270,4.546,621
271,4.563,1664
272,4.579,673
273,4.596,1151
274,4.613,579
275,4.629,893
276,4.646,748
277,4.663,703
278,4.679,829
279,4.696,750
280,4.712,729
281,4.729,730
282,4.746,1119
283,4.762,927
284,4.779,951
285,4.796,665
286,4.812,909
287,4.829,822
288,4.846,857
289,4.862,1042
290,4.879,1506
291,4.895,1253
292,4.912,975
293,4.929,1612
294,4.945,1046
295,4.962,1301
296,4.979,969
297,4.995,730
298,5.012,1197
299,5.028,994
300,5.045,1087
301,5.062,1364
302,5.078,798
303,5.095,1183
304,5.112,1171
305,5.128,1274
306,5.145,988
307,5.162,1268
308,5.178,1184
309,5.195,918
310,5.211,992
311,5.228,1340
312,5.245,926
313,5.261,1172
314,5.278,952
315,5.295,1521
316,5.311,1056
317,5.328,1312
318,5.345,1216
319,5.361,1045
320,5.378,1015
321,5.394,999
322,5.411,1080
323,5.428,722
324,5.444,910
325,5.461,1298
326,5.478,806
327,5.494,817
328,5.511,1073
329,5.527,765
330,5.544,689
331,5.561,789
332,5.577,965
333,5.594,918
334,5.611,645
335,5.627,917
336,5.644,928
337,5.661,638
338,5.677,680
339,5.694,758
340,5.710,691
341,5.727,712
342,5.744,692
343,5.760,910
344,5.777,963
345,5.794,774
346,5.810,823
347,5.827,552
348,5.844,681
349,5.860,649
350,5.877,683
351,5.893,627
352,5.910,745
353,5.927,896
354,5.943,1170
355,5.960,602
356,5.977,834
357,5.993,931
358,6.010,843
359,6.026,748
360,6.043,667
361,6.060,698
362,6.076,719
363,6.093,789
364,6.110,891
365,6.126,1205
366,6.143,692
367,6.160,658
368,6.176,617
369,6.193,1115
370,6.209,833
371,6.226,832
372,6.243,716
373,6.259,738
374,6.276,650
375,6.293,684
376,6.309,611
377,6.326,597
378,6.343,603
379,6.359,748
380,6.376,1387
381,6.392,670
382,6.409,707
383,6.426,884
384,6.442,836
385,6.459,1077
386,6.476,726
387,6.492,836
388,6.509,585
389,6.525,975
390,6.542,750
391,6.559,752
392,6.575,680
393,6.592,634
394,6.609,650
395,6.625,840
396,6.642,867
397,6.659,817
398,6.675,685
399,6.692,1098
400,6.708,715
401,6.725,658
402,6.742,611
403,6.758,858
404,6.775,598
405,6.792,634
406,6.808,1254
407,6.825,667
408,6.842,991
409,6.858,735
410,6.875,972
411,6.891,811
412,6.908,712
413,6.925,630
414,6.941,833
415,6.958,565
416,6.975,681
417,6.991,610
418,7.008,858
419,7.024,816
420,7.041,616
421,7.058,645
422,7.074,666
423,7.091,732
424,7.108,714
425,7.124,620
426,7.141,1519
427,7.158,540
428,7.174,695
429,7.191,693
430,7.207,666
431,7.224,909
432,7.241,887
433,7.257,771
434,7.274,929
435,7.291,803
436,7.307,763
437,7.324,711
438,7.341,961
439,7.357,596
440,7.374,704
441,7.390,814
442,7.407,801
443,7.424,614
444,7.440,800
445,7.457,685
446,7.474,1018
447,7.490,946
448,7.507,854
449,7.523,833
450,7.540,812
451,7.557,742
452,7.573,847
453,7.590,676
454,7.607,825
455,7.623,833
456,7.640,1070
457,7.657,862
458,7.673,913
459,7.690,1120
460,7.706,937
461,7.723,1119
462,7.740,1092
463,7.756,1002
464,7.773,833
465,7.790,838
466,7.806,1000
467,7.823,1076
468,7.840,942
469,7.856,939
470,7.873,926
471,7.889,1308
472,7.906,1135
473,7.923,905
474,7.939,1258
475,7.956,1141
476,7.973,930
