#"+ BPC Scan nostir_75um_sp-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.066,320
1,0.083,411
2,0.099,319
3,0.116,282
4,0.132,352
5,0.149,284
6,0.166,383
7,0.182,280
8,0.199,329
9,0.216,425
10,0.232,302
11,0.249,294
12,0.266,364
13,0.282,319
14,0.299,291
15,0.315,359
16,0.332,286
17,0.349,280
18,0.365,422
19,0.382,277
20,0.399,309
21,0.415,296
22,0.432,360
23,0.449,315
24,0.465,368
25,0.482,484
26,0.498,380
27,0.515,339
28,0.532,396
29,0.548,379
30,0.565,325
31,0.582,351
32,0.598,368
33,0.615,396
34,0.631,343
35,0.648,350
36,0.665,341
37,0.681,323
38,0.698,363
39,0.715,326
40,0.731,323
41,0.748,315
42,0.765,328
43,0.781,427
44,0.798,297
45,0.814,349
46,0.831,329
47,0.848,372
48,0.864,313
49,0.881,419
50,0.898,323
51,0.914,304
52,0.931,486
53,0.948,335
54,0.964,457
55,0.981,427
56,0.997,309
57,1.014,371
58,1.031,329
59,1.047,366
60,1.064,317
61,1.081,372
62,1.097,289
63,1.114,264
64,1.130,376
65,1.147,355
66,1.164,351
67,1.180,309
68,1.197,306
69,1.214,450
70,1.230,349
71,1.247,327
72,1.264,343
73,1.280,309
74,1.297,341
75,1.313,362
76,1.330,347
77,1.347,368
78,1.363,320
79,1.380,283
80,1.397,334
81,1.413,306
82,1.430,360
83,1.447,354
84,1.463,372
85,1.480,329
86,1.496,344
87,1.513,330
88,1.530,354
89,1.546,289
90,1.563,395
91,1.580,332
92,1.596,351
93,1.613,313
94,1.629,375
95,1.646,363
96,1.663,400
97,1.679,379
98,1.696,334
99,1.713,296
100,1.729,350
101,1.746,323
102,1.763,307
103,1.779,322
104,1.796,329
105,1.812,317
106,1.829,322
107,1.846,292
108,1.862,302
109,1.879,394
110,1.896,378
111,1.912,362
112,1.929,314
113,1.946,282
114,1.962,368
115,1.979,323
116,1.995,326
117,2.012,376
118,2.029,362
119,2.045,337
120,2.062,351
121,2.079,357
122,2.095,352
123,2.112,284
124,2.128,329
125,2.145,357
126,2.162,309
127,2.178,328
128,2.195,323
129,2.212,294
130,2.228,285
131,2.245,408
132,2.262,395
133,2.278,285
134,2.295,388
135,2.311,350
136,2.328,350
137,2.345,363
138,2.361,322
139,2.378,319
140,2.395,382
141,2.411,299
142,2.428,430
143,2.444,311
144,2.461,328
145,2.478,434
146,2.494,341
147,2.511,352
148,2.528,289
149,2.544,285
150,2.561,333
151,2.578,489
152,2.594,321
153,2.611,520
154,2.627,361
155,2.644,474
156,2.661,390
157,2.677,346
158,2.694,373
159,2.711,440
160,2.727,364
161,2.744,277
162,2.761,261
163,2.777,459
164,2.794,398
165,2.810,467
166,2.827,327
167,2.844,315
168,2.860,347
169,2.877,329
170,2.894,296
171,2.910,322
172,2.927,419
173,2.943,348
174,2.960,337
175,2.977,326
176,2.993,295
177,3.010,358
178,3.027,305
179,3.043,419
180,3.060,346
181,3.077,458
182,3.093,358
183,3.110,372
184,3.126,394
185,3.143,314
186,3.160,354
187,3.176,397
188,3.193,266
189,3.210,298
190,3.226,389
191,3.243,419
192,3.260,312
193,3.276,323
194,3.293,365
195,3.309,293
196,3.326,276
197,3.343,491
198,3.359,288
199,3.376,467
200,3.393,399
201,3.409,305
202,3.426,432
203,3.442,370
204,3.459,319
205,3.476,342
206,3.492,351
207,3.509,280
208,3.526,298
209,3.542,332
210,3.559,336
211,3.576,366
212,3.592,435
213,3.609,282
214,3.625,385
215,3.642,358
216,3.659,384
217,3.675,378
218,3.692,305
219,3.709,411
220,3.725,355
221,3.742,340
222,3.759,322
223,3.775,396
224,3.792,328
225,3.808,350
226,3.825,333
227,3.842,342
228,3.858,395
229,3.875,417
230,3.892,304
231,3.908,442
232,3.925,372
233,3.941,311
234,3.958,324
235,3.975,306
236,3.991,318
237,4.008,339
238,4.025,269
239,4.041,303
240,4.058,385
241,4.075,397
242,4.091,311
243,4.108,437
244,4.124,584
245,4.141,358
246,4.158,299
247,4.174,359
248,4.191,336
249,4.208,306
250,4.224,282
251,4.241,326
252,4.258,328
253,4.274,395
254,4.291,442
255,4.307,329
256,4.324,366
257,4.341,329
258,4.357,361
259,4.374,398
260,4.391,350
261,4.407,405
262,4.424,336
263,4.440,336
264,4.457,323
265,4.474,342
266,4.490,359
267,4.507,286
268,4.524,330
269,4.540,403
270,4.557,510
271,4.574,351
272,4.590,343
273,4.607,352
274,4.623,286
275,4.640,386
276,4.657,484
277,4.673,331
278,4.690,295
279,4.707,328
280,4.723,317
281,4.740,294
282,4.757,417
283,4.773,324
284,4.790,391
285,4.806,351
286,4.823,344
287,4.840,358
288,4.856,319
289,4.873,401
290,4.890,302
291,4.906,429
292,4.923,374
293,4.939,322
294,4.956,339
295,4.973,312
296,4.989,325
297,5.006,302
298,5.023,950
299,5.039,451
300,5.056,1118
301,5.073,702
302,5.089,696
303,5.106,386
304,5.122,387
305,5.139,362
306,5.156,483
307,5.172,444
308,5.189,355
309,5.206,345
310,5.222,325
311,5.239,289
312,5.256,287
313,5.272,313
314,5.289,340
315,5.305,371
316,5.322,384
317,5.339,399
318,5.355,363
319,5.372,398
320,5.389,319
321,5.405,377
322,5.422,372
323,5.438,314
324,5.455,351
325,5.472,424
326,5.488,322
327,5.505,294
328,5.522,562
329,5.538,389
330,5.555,377
331,5.572,292
332,5.588,417
333,5.605,368
334,5.621,509
335,5.638,382
336,5.655,339
337,5.671,331
338,5.688,417
339,5.705,296
340,5.721,282
341,5.738,296
342,5.755,309
343,5.771,296
344,5.788,345
345,5.804,340
346,5.821,373
347,5.838,363
348,5.854,384
349,5.871,309
350,5.888,293
351,5.904,398
352,5.921,295
353,5.937,476
354,5.954,502
355,5.971,396
356,5.987,462
357,6.004,510
358,6.021,551
359,6.037,570
360,6.054,523
361,6.071,560
362,6.087,637
363,6.104,631
364,6.120,749
365,6.137,788
366,6.154,649
367,6.170,724
368,6.187,736
369,6.204,756
370,6.220,772
371,6.237,672
372,6.254,603
373,6.270,793
374,6.287,765
375,6.303,807
376,6.320,656
377,6.337,765
378,6.353,765
379,6.370,765
380,6.387,717
381,6.403,697
382,6.420,843
383,6.436,551
384,6.453,611
385,6.470,615
386,6.486,582
387,6.503,749
388,6.520,524
389,6.536,531
390,6.553,510
391,6.570,515
392,6.586,511
393,6.603,511
394,6.619,374
395,6.636,510
396,6.653,510
397,6.669,510
398,6.686,594
399,6.703,488
400,6.719,452
401,6.736,715
402,6.753,548
403,6.769,325
404,6.786,423
405,6.802,510
406,6.819,431
407,6.836,335
408,6.852,375
409,6.869,475
410,6.886,422
411,6.902,525
412,6.919,510
413,6.935,338
414,6.952,382
415,6.969,510
416,6.985,356
417,7.002,378
418,7.019,364
419,7.035,510
420,7.052,407
421,7.069,351
422,7.085,480
423,7.102,510
424,7.118,510
425,7.135,394
426,7.152,510
427,7.168,404
428,7.185,518
429,7.202,508
430,7.218,573
431,7.235,1012
432,7.252,922
433,7.268,1165
434,7.285,1442
435,7.301,1027
436,7.318,1355
437,7.335,1431
438,7.351,1694
439,7.368,2228
440,7.385,1894
441,7.401,2197
442,7.418,1806
443,7.434,2327
444,7.451,2009
445,7.468,2742
446,7.484,2270
447,7.501,2267
448,7.518,2386
449,7.534,2654
450,7.551,2019
451,7.568,2395
452,7.584,2492
453,7.601,2492
454,7.617,2548
455,7.634,2266
456,7.651,2087
457,7.667,1888
458,7.684,2108
459,7.701,1616
460,7.717,2138
461,7.734,1803
462,7.751,1800
463,7.767,1878
464,7.784,1643
465,7.800,1884
466,7.817,1384
467,7.834,1715
468,7.850,1292
469,7.867,1220
470,7.884,1255
471,7.900,1235
472,7.917,1421
473,7.934,1390
474,7.950,888
475,7.967,1196
476,7.983,984
477,8.000,1282
478,8.017,899
479,8.033,1045
480,8.050,915
481,8.067,1176
482,8.083,847
483,8.100,976
484,8.116,784
485,8.133,815
486,8.150,1166
487,8.166,946
488,8.183,776
489,8.200,770
490,8.216,844
491,8.233,836
492,8.250,779
493,8.266,897
494,8.283,637
495,8.299,937
496,8.316,739
497,8.333,745
498,8.349,561
499,8.366,621
500,8.383,808
501,8.399,555
502,8.416,598
503,8.433,705
504,8.449,926
505,8.466,810
506,8.482,627
507,8.499,941
508,8.516,924
509,8.532,606
510,8.549,668
511,8.566,666
512,8.582,704
513,8.599,587
514,8.615,688
515,8.632,964
516,8.649,752
517,8.665,514
518,8.682,560
519,8.699,569
520,8.715,524
521,8.732,524
522,8.749,964
523,8.765,524
524,8.782,510
525,8.798,586
526,8.815,492
527,8.832,551
528,8.848,622
529,8.865,553
530,8.882,637
531,8.898,675
532,8.915,485
533,8.932,723
534,8.948,575
535,8.965,570
536,8.981,647
537,8.998,542
538,9.015,471
539,9.031,502
540,9.048,752
541,9.065,533
542,9.081,427
543,9.098,659
544,9.114,510
545,9.131,395
546,9.148,435
547,9.164,505
548,9.181,524
549,9.198,550
550,9.214,489
551,9.231,650
552,9.248,432
553,9.264,528
554,9.281,510
555,9.297,550
556,9.314,523
557,9.331,510
558,9.347,491
559,9.364,506
560,9.381,659
561,9.397,593
562,9.414,589
563,9.431,535
564,9.447,524
565,9.464,456
566,9.480,430
567,9.497,510
568,9.514,598
569,9.530,445
570,9.547,431
571,9.564,425
572,9.580,382
573,9.597,510
574,9.613,526
575,9.630,547
576,9.647,510
577,9.663,562
578,9.680,392
579,9.697,441
580,9.713,570
581,9.730,868
582,9.747,510
583,9.763,510
584,9.780,581
585,9.796,561
586,9.813,541
587,9.830,454
588,9.846,534
589,9.863,550
590,9.880,621
591,9.896,553
592,9.913,390
593,9.930,399
594,9.946,505
595,9.963,388
596,9.979,557
597,9.996,567
598,10.013,417
599,10.029,477
600,10.046,517
601,10.063,545
602,10.079,448
603,10.096,495
604,10.112,573
605,10.129,805
606,10.146,462
607,10.162,682
608,10.179,598
609,10.196,510
610,10.212,783
611,10.229,442
612,10.246,458
613,10.262,609
614,10.279,483
615,10.295,444
616,10.312,562
617,10.329,640
618,10.345,523
619,10.362,399
620,10.379,454
621,10.395,399
622,10.412,511
623,10.429,587
624,10.445,453
625,10.462,509
626,10.478,639
627,10.495,389
628,10.512,508
629,10.528,589
630,10.545,382
631,10.562,408
632,10.578,577
633,10.595,411
634,10.611,457
635,10.628,423
636,10.645,574
637,10.661,510
638,10.678,367
639,10.695,524
640,10.711,510
641,10.728,537
642,10.745,510
643,10.761,455
644,10.778,361
645,10.794,472
646,10.811,415
647,10.828,472
648,10.844,452
649,10.861,412
650,10.878,521
651,10.894,352
652,10.911,560
653,10.928,460
654,10.944,383
655,10.961,381
656,10.977,510
657,10.994,449
658,11.011,510
659,11.027,427
660,11.044,315
661,11.061,386
662,11.077,437
663,11.094,518
664,11.110,473
665,11.127,492
666,11.144,444
667,11.160,376
668,11.177,456
669,11.194,347
670,11.210,566
671,11.227,526
672,11.244,359
673,11.260,488
674,11.277,405
675,11.293,391
676,11.310,510
677,11.327,473
678,11.343,368
679,11.360,357
680,11.377,510
681,11.393,364
682,11.410,510
683,11.427,400
684,11.443,363
685,11.460,385
686,11.476,370
687,11.493,493
688,11.510,375
689,11.526,467
690,11.543,338
691,11.560,371
692,11.576,346
693,11.593,559
694,11.609,513
695,11.626,384
696,11.643,398
697,11.659,390
698,11.676,349
699,11.693,454
700,11.709,415
701,11.726,520
702,11.743,383
703,11.759,324
704,11.776,503
705,11.792,378
706,11.809,509
707,11.826,510
708,11.842,441
709,11.859,515
710,11.876,522
711,11.892,365
712,11.909,472
713,11.926,455
714,11.942,331
715,11.959,413
716,11.975,329
717,11.992,353
718,12.009,454
719,12.025,382
720,12.042,403
721,12.059,395
722,12.075,436
723,12.092,443
724,12.108,459
725,12.125,588
726,12.142,530
727,12.158,370
728,12.175,534
729,12.192,510
730,12.208,592
731,12.225,510
732,12.242,510
733,12.258,433
734,12.275,486
735,12.291,546
736,12.308,482
737,12.325,510
738,12.341,510
739,12.358,497
740,12.375,526
741,12.391,512
742,12.408,429
743,12.425,391
744,12.441,527
745,12.458,433
746,12.474,396
747,12.491,479
748,12.508,512
749,12.524,510
750,12.541,369
751,12.558,585
752,12.574,470
753,12.591,445
754,12.607,510
755,12.624,354
756,12.641,510
757,12.657,423
758,12.674,463
759,12.691,408
760,12.707,493
761,12.724,521
762,12.741,510
763,12.757,471
764,12.774,433
765,12.790,444
766,12.807,340
767,12.824,449
768,12.840,402
769,12.857,426
770,12.874,434
771,12.890,510
772,12.907,436
773,12.924,331
774,12.940,354
775,12.957,348
776,12.973,335
777,12.990,442
778,13.007,453
779,13.023,362
780,13.040,348
781,13.057,490
782,13.073,444
783,13.090,500
784,13.106,333
785,13.123,346
786,13.140,389
787,13.156,337
788,13.173,350
789,13.190,298
790,13.206,318
791,13.223,393
792,13.240,442
793,13.256,367
794,13.273,502
795,13.289,514
796,13.306,556
797,13.323,510
798,13.339,582
799,13.356,584
800,13.373,432
801,13.389,510
802,13.406,458
803,13.423,582
804,13.439,501
805,13.456,546
806,13.472,510
807,13.489,558
808,13.506,647
809,13.522,693
810,13.539,681
811,13.556,823
812,13.572,1161
813,13.589,1467
814,13.605,1771
815,13.622,2236
816,13.639,2706
817,13.655,3224
818,13.672,3767
819,13.689,5059
820,13.705,5306
821,13.722,5959
822,13.739,7529
823,13.755,7817
824,13.772,7720
825,13.788,7933
826,13.805,9312
827,13.822,8294
828,13.838,7902
829,13.855,7815
830,13.872,7508
831,13.888,7870
832,13.905,8026
833,13.922,7261
834,13.938,7856
835,13.955,7356
836,13.971,7777
837,13.988,6880
838,14.005,6960
839,14.021,6782
840,14.038,6356
841,14.055,16144
842,14.071,39109
843,14.088,72289
844,14.104,106171
845,14.121,153179
846,14.138,206696
847,14.154,251801
848,14.171,309565
849,14.188,356255
850,14.204,392618
851,14.221,413351
852,14.238,457660
853,14.254,455172
854,14.271,466836
855,14.287,457239
856,14.304,475919
857,14.321,471160
858,14.337,474329
859,14.354,470764
860,14.371,463347
861,14.387,438395
862,14.404,384243
863,14.421,332336
864,14.437,284782
865,14.454,220195
866,14.470,176950
867,14.487,132104
868,14.504,107895
869,14.520,87737
870,14.537,66512
871,14.554,58650
872,14.570,49699
873,14.587,39549
874,14.603,34164
875,14.620,27580
876,14.637,25690
877,14.653,24631
878,14.670,21807
879,14.687,20337
880,14.703,17702
881,14.720,17864
882,14.737,15814
883,14.753,14717
884,14.770,14597
885,14.786,13295
886,14.803,10519
887,14.820,11319
888,14.836,9166
889,14.853,9118
890,14.870,8372
891,14.886,6541
892,14.903,6668
893,14.919,7193
894,14.936,7332
895,14.953,6202
896,14.969,6194
897,14.986,6157
898,15.003,6087
899,15.019,5653
900,15.036,6342
901,15.053,5155
902,15.069,6945
903,15.086,5038
904,15.102,4450
905,15.119,4656
906,15.136,4977
907,15.152,10075
908,15.169,17434
909,15.186,26069
910,15.202,43108
911,15.219,52171
912,15.236,71631
913,15.252,81276
914,15.269,93341
915,15.285,103096
916,15.302,108801
917,15.319,109556
918,15.335,113242
919,15.352,126370
920,15.369,134718
921,15.385,139106
922,15.402,133796
923,15.419,146814
924,15.435,140958
925,15.452,135857
926,15.468,131076
927,15.485,146513
928,15.502,143037
929,15.518,147259
930,15.535,133301
931,15.552,118461
932,15.568,104898
933,15.585,92813
934,15.602,83904
935,15.618,74191
936,15.635,62325
937,15.651,47584
938,15.668,46368
939,15.685,36969
940,15.701,32172
941,15.718,29001
942,15.735,18495
943,15.751,15539
944,15.768,13636
945,15.784,10049
946,15.801,7806
947,15.818,6540
948,15.834,5644
949,15.851,4911
950,15.868,4351
951,15.884,3315
952,15.901,3218
953,15.918,3352
954,15.934,3826
955,15.951,2930
956,15.967,3066
957,15.984,2963
958,16.001,2320
959,16.017,2572
960,16.034,2590
961,16.051,3245
962,16.067,3840
963,16.084,2595
964,16.101,2635
965,16.117,3094
966,16.134,2498
967,16.150,3143
968,16.167,2759
969,16.184,2336
970,16.200,2518
971,16.217,2322
972,16.234,1926
973,16.250,2019
974,16.267,2957
975,16.283,1983
976,16.300,1965
977,16.317,2535
978,16.333,1725
979,16.350,1860
980,16.367,1683
981,16.383,1871
982,16.400,1758
983,16.417,2847
984,16.433,2565
985,16.450,2294
986,16.466,3250
987,16.483,4707
988,16.500,6943
989,16.516,9177
990,16.533,14941
991,16.550,22742
992,16.566,30342
993,16.583,37038
994,16.600,48146
995,16.616,58630
996,16.633,60656
997,16.649,66524
998,16.666,69445
999,16.683,72002
1000,16.699,69656
1001,16.716,75566
1002,16.733,71091
1003,16.749,76930
1004,16.766,71802
1005,16.782,71549
1006,16.799,69188
1007,16.816,76317
1008,16.832,68565
1009,16.849,67800
1010,16.866,69266
1011,16.882,66976
1012,16.899,62596
1013,16.916,61148
1014,16.932,59126
1015,16.949,52730
1016,16.965,51200
1017,16.982,46377
1018,16.999,44902
1019,17.015,38316
1020,17.032,38083
1021,17.049,31954
1022,17.065,29879
1023,17.082,30903
1024,17.099,23914
1025,17.115,22846
1026,17.132,19548
1027,17.148,19381
1028,17.165,16468
1029,17.182,16431
1030,17.198,13648
1031,17.215,12784
1032,17.232,14451
1033,17.248,11806
1034,17.265,9282
1035,17.281,10282
1036,17.298,8890
1037,17.315,6980
1038,17.331,8242
1039,17.348,6697
1040,17.365,6692
1041,17.381,6240
1042,17.398,5666
1043,17.415,4989
1044,17.431,4992
1045,17.448,5157
1046,17.464,4426
1047,17.481,4179
1048,17.498,4510
1049,17.514,3900
1050,17.531,4220
1051,17.548,4373
1052,17.564,4116
1053,17.581,3753
1054,17.598,3550
1055,17.614,3114
1056,17.631,3025
1057,17.647,2992
1058,17.664,4733
1059,17.681,3180
1060,17.697,3605
1061,17.714,3065
1062,17.731,3045
1063,17.747,4051
1064,17.764,3178
1065,17.780,2511
1066,17.797,2452
1067,17.814,2401
1068,17.830,2848
1069,17.847,3138
1070,17.864,2606
1071,17.880,2338
1072,17.897,1980
1073,17.914,2112
1074,17.930,2887
1075,17.947,3207
1076,17.963,2597
1077,17.980,2376
1078,17.997,1883
1079,18.013,1970
1080,18.030,1973
1081,18.047,3901
1082,18.063,2397
1083,18.080,2036
1084,18.097,2156
1085,18.113,1968
1086,18.130,2004
1087,18.146,2076
1088,18.163,2131
1089,18.180,2044
1090,18.196,2498
1091,18.213,2028
1092,18.230,1896
1093,18.246,1597
1094,18.263,1892
1095,18.279,1971
1096,18.296,1799
1097,18.313,1846
1098,18.329,2066
1099,18.346,1558
1100,18.363,1587
1101,18.379,1472
1102,18.396,2155
1103,18.413,1646
1104,18.429,1313
1105,18.446,1555
1106,18.462,1904
1107,18.479,1862
1108,18.496,1405
1109,18.512,1940
1110,18.529,1587
1111,18.546,2265
1112,18.562,1371
1113,18.579,1410
1114,18.596,1558
1115,18.612,2039
1116,18.629,1438
1117,18.645,1476
1118,18.662,1416
1119,18.679,1938
1120,18.695,1334
1121,18.712,1645
1122,18.729,1396
1123,18.745,1129
1124,18.762,1708
1125,18.778,1534
1126,18.795,1274
1127,18.812,1190
1128,18.828,1625
1129,18.845,1140
1130,18.862,1313
1131,18.878,1443
1132,18.895,1536
1133,18.912,1633
1134,18.928,1476
1135,18.945,1379
1136,18.961,1489
1137,18.978,1761
1138,18.995,1336
1139,19.011,1106
1140,19.028,1651
1141,19.045,1407
1142,19.061,2156
1143,19.078,1558
1144,19.095,1497
1145,19.111,1201
1146,19.128,1261
1147,19.144,1148
1148,19.161,1125
1149,19.178,1600
1150,19.194,1323
1151,19.211,1298
1152,19.228,1303
1153,19.244,1139
1154,19.261,1743
1155,19.277,1387
